review_id,product_name,category,rating,review_text,review_date,verified_purchase,helpful_votes,sentiment
REV00019,Desk Lamp,home,1,"After using it for a month, Broke after just 2 weeks of use! Consumes too much power. One star is too generous.",2026-05-05,True,12,negative
REV00020,Wireless Headphones,electronics,3,"EDIT: After more use, It works as expected, nothing special. You get what you pay for. Check my blog: www.reviews.com/mypost",2026-03-28,True,8,neutral
REV00021,Smart Watch,electronics,5,"Overall, Great build quality, feels premium and solid. One star is too generous.",2026-01-25,True,14,positive
REV00022,Air Purifier,home,3,"EDIT: After more use, Okay for occasional use. Highly recommend!",2025-12-31,True,1,neutral
REV00023,Air Purifier,home,1,"In my opinion, Difficult to clean, parts don't come apart easily. You get what you pay for.",2025-12-22,True,11,negative
REV00024,Tablet Ultra,electronics,1,"My experience: Poor build quality, feels cheap and plastic. Worth every penny!",2026-03-03,True,16,negative
REV00025,Laptop Pro 15,electronics,3,"Honestly, Standard features, what you would expect. Disappointed overall.",2026-05-28,True,4,neutral
REV00026,Vacuum Cleaner,home,5,"EDIT: After more use, Great features for the price. Easy to clean and maintain. Total waste of money.",2025-12-18,True,25,positive
REV00027,Laptop Pro 15,electronics,5,"My experience: The display is absolutely stunning. Colors are vibrant and sharp. Sound quality is excellent, crystal clear audio. Would buy again!",2026-06-12,True,29,positive
REV00028,Tablet Ultra,electronics,2,"In my opinion, Screen is too small and hard to read. Poor build quality, feels cheap and plastic. You get what you pay for.",2025-12-31,False,25,negative
REV00029,Laptop Pro 15,electronics,5,"My experience: Great build quality, feels premium and solid. Camera quality exceeded my expectations, photos are crisp. Highly recommend! Check my blog: www.reviews.com/mypost",2026-01-23,True,25,positive
REV00030,Blender Pro,home,3,<p>Just received it and Standard features and performance. Not recommended.</p> Check my blog: www.reviews.com/mypost Contact me: reviewer@email.com,2026-04-28,True,3,neutral
REV00031,Leather Belt,clothing,2,UPDATE: Faded badly after first wash.,2026-04-24,False,19,negative
REV00032,Blender Pro,home,5,"I must say, Easy to clean and maintain. You get what you pay for. Check my blog: www.reviews.com/mypost",2025-12-27,True,41,positive
REV00033,Tablet Ultra,electronics,3,"Standard features, what you would expect. Highly recommend!",2026-05-06,True,5,neutral
REV00034,Winter Jacket,clothing,5,"In my opinion, Washes well, no fading or shrinking. Beautiful color, exactly as shown in pictures. Total waste of money. Check my blog: www.reviews.com/mypost",2026-05-08,True,20,positive
REV00035,Smart Watch,electronics,5,"After using it for a month, Great build quality, feels premium and solid. Perfect for my needs.",2026-02-13,False,29,positive
REV00036,Air Purifier,home,3,"Honestly, Average product, meets basic needs. Save your money.",2026-06-02,True,8,neutral
REV00037,Coffee Maker,home,1,"UPDATE: Difficult to clean, parts don't come apart easily. Missing basic features, very disappointed. You get what you pay for. Check my blog: www.reviews.com/mypost",2025-12-31,False,5,negative
REV00038,Denim Jeans,clothing,5,"Overall, Great value for money, highly recommend! Excellent quality fabric, feels soft and durable. Not recommended.",2026-03-22,True,41,positive
REV00039,Denim Jeans,clothing,3,"Just received it and Fits okay, material is average. Five stars from me!",2026-05-19,True,6,neutral
REV00040,Leather Belt,clothing,1,"UPDATE: Poor quality material, started falling apart after one wash. Disappointed overall. Check my blog: www.reviews.com/mypost",2026-02-02,True,5,negative
REV00041,Coffee Maker,home,5,"In my opinion, Sturdy design, built to last. You get what you pay for.",2026-01-08,True,33,positive
REV00042,Tablet Ultra,electronics,3,UPDATE: Average product for the price point. Highly recommend!,2026-06-03,False,8,neutral
REV00043,Desk Lamp,home,5,"Honestly, Great features for the price. Easy to clean and maintain. Save your money.",2026-03-16,False,38,positive
REV00044,Smart Watch,electronics,3,"Overall, It works as expected, nothing special. One star is too generous.",2026-03-30,True,10,neutral
REV00045,Running Shoes,clothing,3,"Honestly, Fits okay, material is average. One star is too generous. Contact me: reviewer@email.com",2026-01-07,True,7,neutral
REV00046,Smartphone X1,electronics,5,"<p>I must say, Super fast performance, handles multitasking effortlessly. You get what you pay for.</p>",2026-04-11,True,33,positive
REV00047,Wireless Headphones,electronics,2,"After using it for a month, Overheats after just 10 minutes of use. One star is too generous.",2026-03-10,False,8,negative
REV00048,Blender Pro,home,5,"In my opinion, Easy to clean and maintain. Easy to clean and maintain. Total waste of money. Check my blog: www.reviews.com/mypost",2026-01-13,True,26,positive
REV00049,Vacuum Cleaner,home,2,"<p>To be honest, Consumes too much power. One star is too generous.</p>",2026-02-03,True,1,negative
REV00050,Wireless Headphones,electronics,4,"Honestly, Super fast performance, handles multitasking effortlessly. Camera quality exceeded my expectations, photos are crisp. Would buy again! Check my blog: www.reviews.com/mypost",2026-04-03,False,11,positive
REV00051,Smart Watch,electronics,3,"Honestly, Standard features, what you would expect. One star is too generous. Contact me: reviewer@email.com",2026-02-03,True,6,neutral
REV00052,Running Shoes,clothing,5,"I must say, Great value for money, highly recommend! Great value for money, highly recommend! Disappointed overall. Contact me: reviewer@email.com",2026-05-19,True,12,positive
REV00053,Tablet Ultra,electronics,1,My experience: Screen is too small and hard to read. Worth every penny!,2026-03-29,True,26,negative
REV00054,Running Shoes,clothing,4,"Overall, Great value for money, highly recommend! Worth every penny!",2026-02-25,True,15,positive
REV00055,Desk Lamp,home,4,"After using it for a month, Great features for the price. Easy to clean and maintain. Save your money.",2025-12-21,True,44,positive
REV00056,Smartphone X1,electronics,5,"I must say, Great build quality, feels premium and solid. Worth every penny!",2026-05-19,True,20,positive
REV00057,Winter Jacket,clothing,2,"Color is completely different from the photos. Terrible fit, way too small even though I ordered my size. Five stars from me!",2026-03-20,False,27,negative
REV00058,Denim Jeans,clothing,3,"Honestly, As expected from this brand. Five stars from me! Check my blog: www.reviews.com/mypost",2026-04-14,True,5,neutral
REV00059,Winter Jacket,clothing,4,"After using it for a month, Great value for money, highly recommend! Great value for money, highly recommend! Total waste of money.",2025-12-16,False,7,positive
REV00060,Tablet Ultra,electronics,5,"Honestly, Sound quality is excellent, crystal clear audio. Worth every penny!",2025-12-16,True,43,positive
REV00061,Vacuum Cleaner,home,2,"Honestly, Missing basic features, very disappointed. Flimsy construction, feels like it will break. Five stars from me!",2026-03-16,True,27,negative
REV00062,Cotton T-Shirt,clothing,2,"Terrible fit, way too small even though I ordered my size. Runs very small, order 2 sizes up! Five stars from me!",2026-03-03,True,9,negative
REV00063,Winter Jacket,clothing,4,"<p>Overall, True to size, the measurements were accurate. Beautiful color, exactly as shown in pictures. Not recommended.</p>",2026-01-01,True,29,positive
REV00064,Air Purifier,home,4,"UPDATE: Sturdy design, built to last. Would buy again! Contact me: reviewer@email.com",2025-12-25,True,34,positive
REV00065,Smartphone X1,electronics,2,"<p>My experience: Sound quality is awful, tinny and distorted. Very slow, freezes constantly during use. Total waste of money.</p> Contact me: reviewer@email.com",2025-12-30,True,12,negative
REV00066,Leather Belt,clothing,1,"<p>After using it for a month, Color is completely different from the photos. Runs very small, order 2 sizes up! Disappointed overall.</p>",2026-04-07,True,12,negative
REV00067,Smart Watch,electronics,4,"Super fast performance, handles multitasking effortlessly. Total waste of money. Contact me: reviewer@email.com",2026-05-08,True,25,positive
REV00068,Smartphone X1,electronics,2,"My experience: Screen is too small and hard to read. Battery drains too quickly, barely lasts 3 hours. Contact me: reviewer@email.com",2026-06-11,True,30,negative
REV00069,Coffee Maker,home,1,"My experience: Difficult to clean, parts don't come apart easily. Broke after just 2 weeks of use! Save your money.",2026-04-17,False,19,negative
REV00070,Desk Lamp,home,5,"In my opinion, Sturdy design, built to last. Sturdy design, built to last.",2026-04-07,True,33,positive
REV00071,Blender Pro,home,5,"<p>UPDATE: Powerful and efficient, cleans thoroughly. Great features for the price. You get what you pay for.</p>",2026-04-14,True,32,positive
REV00072,Blender Pro,home,1,"To be honest, Missing basic features, very disappointed. Not recommended.",2026-06-03,True,15,negative
REV00073,Denim Jeans,clothing,5,"Just received it and Looks stylish and modern, gets compliments. True to size, the measurements were accurate.",2026-01-06,False,16,positive
REV00074,Winter Jacket,clothing,4,"After using it for a month, True to size, the measurements were accurate. Five stars from me!",2026-01-02,True,8,positive
REV00075,Coffee Maker,home,5,"EDIT: After more use, Great features for the price. Sturdy design, built to last. Would buy again! Contact me: reviewer@email.com",2026-04-14,False,2,positive
REV00076,Air Purifier,home,5,"Overall, Sturdy design, built to last. Powerful and efficient, cleans thoroughly. Five stars from me!",2026-01-20,True,39,positive
REV00077,Desk Lamp,home,3,"UPDATE: Does the job, nothing more nothing less. Not recommended.",2026-02-16,True,10,neutral
REV00078,Leather Belt,clothing,5,"<p>In my opinion, Washes well, no fading or shrinking. You get what you pay for.</p>",2026-05-04,True,44,positive
REV00079,Running Shoes,clothing,3,"Just received it and Fits okay, material is average. Not recommended.",2026-04-17,False,9,neutral
REV00080,Winter Jacket,clothing,1,"Honestly, Poor quality material, started falling apart after one wash. Not recommended.",2026-02-20,True,4,negative
REV00081,Winter Jacket,clothing,1,"UPDATE: Runs very small, order 2 sizes up! Worth every penny!",2026-02-19,True,20,negative
REV00082,Smart Watch,electronics,5,"EDIT: After more use, Camera quality exceeded my expectations, photos are crisp. Save your money. Check my blog: www.reviews.com/mypost",2026-02-20,True,16,positive
REV00083,Desk Lamp,home,2,"Missing basic features, very disappointed. Flimsy construction, feels like it will break. Would buy again!",2025-12-19,False,0,negative
REV00084,Desk Lamp,home,3,"I must say, Does the job, nothing more nothing less. Total waste of money.",2026-03-05,True,3,neutral
REV00085,Denim Jeans,clothing,5,"EDIT: After more use, True to size, the measurements were accurate. One star is too generous. Contact me: reviewer@email.com",2026-02-15,True,24,positive
REV00086,Air Purifier,home,2,"In my opinion, Takes up too much space, too bulky. Flimsy construction, feels like it will break. Would buy again!",2026-03-31,True,20,negative
REV00087,Tablet Ultra,electronics,5,"<p>Honestly, Great build quality, feels premium and solid. The screen resolution is perfect for watching movies. Worth every penny!</p>",2026-05-16,False,40,positive
REV00088,Leather Belt,clothing,4,"Just received it and Excellent quality fabric, feels soft and durable. Would buy again!",2026-04-30,True,9,positive
REV00089,Blender Pro,home,5,"After using it for a month, Quiet operation, barely makes any noise. Worth every penny!",2026-04-30,True,19,positive
REV00090,Wireless Headphones,electronics,3,"It works as expected, nothing special. Total waste of money.",2025-12-24,True,10,neutral
REV00091,Laptop Pro 15,electronics,5,"To be honest, The screen resolution is perfect for watching movies. Amazing battery life! Lasts all day without charging. Worth every penny!",2026-04-19,False,11,positive
REV00092,Cotton T-Shirt,clothing,5,Perfect fit! Very comfortable to wear all day. You get what you pay for.,2026-04-24,True,2,positive
REV00093,Wireless Headphones,electronics,5,"Just received it and Setup was incredibly easy, connected right away. Amazing battery life! Lasts all day without charging. Would buy again! Check my blog: www.reviews.com/mypost",2026-02-08,True,30,positive
REV00094,Air Purifier,home,3,"<p>UPDATE: Average product, meets basic needs. Highly recommend!</p>",2026-02-28,False,9,neutral
REV00095,Desk Lamp,home,3,"<p>To be honest, Average product, meets basic needs. Worth every penny!</p>",2026-05-30,True,9,neutral
REV00096,Wireless Headphones,electronics,3,"EDIT: After more use, Standard features, what you would expect. One star is too generous. Check my blog: www.reviews.com/mypost",2026-05-02,True,2,neutral
REV00097,Winter Jacket,clothing,1,Overpriced for such low quality. Save your money.,2026-03-18,True,25,negative
REV00098,Leather Belt,clothing,3,"<p>EDIT: After more use, Decent for the price, but not great. Worth every penny!</p>",2026-06-04,True,8,neutral
REV00099,Air Purifier,home,1,"Honestly, Broke after just 2 weeks of use! Takes up too much space, too bulky. Total waste of money.",2026-04-10,False,4,negative
REV00100,Smartphone X1,electronics,1,"UPDATE: Sound quality is awful, tinny and distorted. Worth every penny! Check my blog: www.reviews.com/mypost",2026-03-05,False,25,negative
REV00101,Tablet Ultra,electronics,3,"Honestly, Standard features, what you would expect. You get what you pay for. Check my blog: www.reviews.com/mypost",2026-05-18,True,3,neutral
REV00102,Smartphone X1,electronics,5,"<p>EDIT: After more use, Super fast performance, handles multitasking effortlessly. Disappointed overall.</p>",2026-03-15,True,14,positive
REV00103,Coffee Maker,home,5,"I must say, Quiet operation, barely makes any noise. Disappointed overall.",2026-03-09,True,39,positive
REV00104,Leather Belt,clothing,5,"In my opinion, True to size, the measurements were accurate. Great value for money, highly recommend! Perfect for my needs.",2026-05-30,True,26,positive
REV00105,Coffee Maker,home,4,"EDIT: After more use, Great features for the price. Easy to clean and maintain. Five stars from me!",2026-01-31,True,3,positive
REV00106,Tablet Ultra,electronics,3,"In my opinion, Standard features, what you would expect. Five stars from me!",2026-03-10,True,9,neutral
REV00107,Smartphone X1,electronics,2,"Overall, Screen is too small and hard to read. One star is too generous.",2026-02-26,True,9,negative
REV00108,Running Shoes,clothing,4,"<p>To be honest, Excellent quality fabric, feels soft and durable. Beautiful color, exactly as shown in pictures. One star is too generous.</p>",2026-04-02,True,6,positive
REV00109,Blender Pro,home,5,"To be honest, Compact size, fits perfectly in my space. Perfect for my needs.",2026-02-14,False,18,positive
REV00110,Smartphone X1,electronics,3,"To be honest, Standard features, what you would expect. Would buy again!",2026-01-15,False,7,neutral
REV00111,Running Shoes,clothing,3,"Honestly, Fits okay, material is average. One star is too generous.",2026-05-27,True,0,neutral
REV00112,Laptop Pro 15,electronics,3,"Overall, Decent performance, not amazing but okay. Save your money.",2026-04-15,True,5,neutral
REV00113,Smartphone X1,electronics,3,"Honestly, Average product for the price point. Not recommended.",2025-12-30,True,9,neutral
REV00114,Running Shoes,clothing,4,"In my opinion, Looks stylish and modern, gets compliments. Perfect fit! Very comfortable to wear all day. Five stars from me!",2026-05-12,True,45,positive
REV00115,Vacuum Cleaner,home,5,"<p>UPDATE: Quiet operation, barely makes any noise. Easy to clean and maintain. Perfect for my needs.</p>",2026-04-10,True,13,positive
REV00116,Vacuum Cleaner,home,3,"My experience: Does the job, nothing more nothing less. You get what you pay for.",2026-05-30,True,7,neutral
REV00117,Cotton T-Shirt,clothing,5,"My experience: Washes well, no fading or shrinking. Five stars from me!",2026-03-27,False,46,positive
REV00118,Running Shoes,clothing,5,"UPDATE: Beautiful color, exactly as shown in pictures. Total waste of money.",2026-03-15,True,5,positive
REV00119,Smart Watch,electronics,1,"<p>EDIT: After more use, Sound quality is awful, tinny and distorted. Perfect for my needs.</p>",2026-02-03,True,0,negative
REV00120,Smart Watch,electronics,1,"After using it for a month, Very slow, freezes constantly during use. Battery drains too quickly, barely lasts 3 hours. Worth every penny!",2026-05-21,False,24,negative
REV00121,Running Shoes,clothing,1,"<p>After using it for a month, Color is completely different from the photos. Overpriced for such low quality. One star is too generous.</p>",2026-01-12,True,3,negative
REV00122,Wireless Headphones,electronics,3,"My experience: Decent performance, not amazing but okay. Save your money. Contact me: reviewer@email.com",2026-01-01,True,4,neutral
REV00123,Tablet Ultra,electronics,5,"<p>In my opinion, Amazing battery life! Lasts all day without charging. You get what you pay for.</p> Contact me: reviewer@email.com",2026-05-28,True,34,positive
REV00124,Winter Jacket,clothing,3,"EDIT: After more use, Standard quality, nothing remarkable. Save your money.",2026-06-10,True,8,neutral
REV00125,Running Shoes,clothing,5,"<p>After using it for a month, Great value for money, highly recommend! Great value for money, highly recommend!</p>",2026-02-28,True,11,positive
REV00126,Smart Watch,electronics,3,"To be honest, It works as expected, nothing special. Highly recommend!",2026-01-29,True,3,neutral
REV00127,Laptop Pro 15,electronics,4,"Setup was incredibly easy, connected right away. One star is too generous.",2026-02-05,True,43,positive
REV00128,Winter Jacket,clothing,2,"UPDATE: Poor quality material, started falling apart after one wash. Looks cheap and poorly made. Would buy again!",2026-05-22,True,10,negative
REV00129,Wireless Headphones,electronics,5,"<p>In my opinion, Great build quality, feels premium and solid. The screen resolution is perfect for watching movies.</p>",2026-06-12,False,27,positive
REV00130,Air Purifier,home,3,"After using it for a month, Standard features and performance. Disappointed overall.",2026-05-13,True,1,neutral
REV00131,Cotton T-Shirt,clothing,3,"After using it for a month, Decent for the price, but not great. Save your money.",2026-05-14,True,10,neutral
REV00132,Smart Watch,electronics,1,"After using it for a month, Screen is too small and hard to read. Five stars from me!",2026-04-27,True,11,negative
REV00133,Wireless Headphones,electronics,2,"Just received it and Camera is terrible, blurry photos even in daylight. Screen is too small and hard to read. Save your money. Check my blog: www.reviews.com/mypost",2026-01-24,True,23,negative
REV00134,Winter Jacket,clothing,5,"After using it for a month, Great value for money, highly recommend! Total waste of money.",2026-02-04,True,30,positive
REV00135,Cotton T-Shirt,clothing,5,<p>Perfect fit! Very comfortable to wear all day.</p>,2026-04-12,True,48,positive
REV00136,Winter Jacket,clothing,1,"To be honest, Runs very small, order 2 sizes up! Terrible fit, way too small even though I ordered my size. You get what you pay for.",2026-03-10,True,10,negative
REV00137,Leather Belt,clothing,3,My experience: As expected from this brand. Five stars from me! Check my blog: www.reviews.com/mypost,2026-02-15,True,9,neutral
REV00138,Cotton T-Shirt,clothing,3,"EDIT: After more use, Decent for the price, but not great. Save your money.",2026-03-14,True,3,neutral
REV00139,Winter Jacket,clothing,2,"<p>Just received it and Runs very small, order 2 sizes up! Faded badly after first wash. Total waste of money.</p>",2026-04-16,True,15,negative
REV00140,Wireless Headphones,electronics,3,UPDATE: Average product for the price point. Five stars from me! Check my blog: www.reviews.com/mypost,2026-06-06,True,8,neutral
REV00141,Wireless Headphones,electronics,3,"UPDATE: Standard features, what you would expect. Highly recommend!",2026-03-17,True,2,neutral
REV00142,Leather Belt,clothing,3,"Honestly, Fits okay, material is average.",2026-05-10,True,6,neutral
REV00143,Wireless Headphones,electronics,1,"EDIT: After more use, Screen is too small and hard to read. Poor build quality, feels cheap and plastic. One star is too generous.",2026-04-15,False,22,negative
REV00144,Wireless Headphones,electronics,1,"In my opinion, Difficult to setup, confusing instructions. Battery drains too quickly, barely lasts 3 hours. Save your money.",2025-12-29,False,19,negative
REV00145,Denim Jeans,clothing,4,"EDIT: After more use, True to size, the measurements were accurate. Highly recommend!",2026-02-22,False,26,positive
REV00146,Desk Lamp,home,3,"After using it for a month, Okay for occasional use. Disappointed overall.",2026-06-06,True,1,neutral
REV00147,Smartphone X1,electronics,2,"Just received it and Sound quality is awful, tinny and distorted. Five stars from me!",2026-06-01,True,30,negative
REV00148,Desk Lamp,home,3,"After using it for a month, Okay for occasional use. Save your money.",2025-12-15,True,5,neutral
REV00149,Desk Lamp,home,4,"EDIT: After more use, Quiet operation, barely makes any noise. Worth every penny!",2026-01-02,True,26,positive
REV00150,Smart Watch,electronics,5,"In my opinion, The display is absolutely stunning. Colors are vibrant and sharp. Amazing battery life! Lasts all day without charging. Not recommended. Check my blog: www.reviews.com/mypost",2026-01-29,True,48,positive
REV00151,Denim Jeans,clothing,5,"I must say, Looks stylish and modern, gets compliments. Beautiful color, exactly as shown in pictures. Save your money.",2026-05-31,False,43,positive
REV00152,Desk Lamp,home,5,"<p>After using it for a month, Quiet operation, barely makes any noise. Powerful and efficient, cleans thoroughly. Would buy again!</p>",2025-12-28,True,24,positive
REV00153,Smartphone X1,electronics,2,"After using it for a month, Very slow, freezes constantly during use. Camera is terrible, blurry photos even in daylight. Disappointed overall. Check my blog: www.reviews.com/mypost",2026-01-11,True,7,negative
REV00154,Cotton T-Shirt,clothing,2,My experience: Looks cheap and poorly made. Faded badly after first wash. Would buy again!,2026-02-01,True,2,negative
REV00155,Air Purifier,home,1,"Overall, Broke after just 2 weeks of use! Save your money. Check my blog: www.reviews.com/mypost",2026-03-14,True,12,negative
REV00156,Wireless Headphones,electronics,5,"<p>Just received it and Camera quality exceeded my expectations, photos are crisp. Total waste of money.</p>",2026-01-27,True,30,positive
REV00157,Wireless Headphones,electronics,5,"To be honest, Camera quality exceeded my expectations, photos are crisp. Setup was incredibly easy, connected right away. Would buy again!",2026-01-03,True,17,positive
REV00158,Wireless Headphones,electronics,3,"To be honest, Average product for the price point. Five stars from me!",2026-05-02,True,0,neutral
REV00159,Leather Belt,clothing,3,"Honestly, Decent for the price, but not great. Five stars from me!",2026-01-30,True,1,neutral
REV00160,Smartphone X1,electronics,3,"I must say, Average product for the price point. Five stars from me!",2026-02-18,True,2,neutral
REV00161,Running Shoes,clothing,5,"Great value for money, highly recommend! Washes well, no fading or shrinking. One star is too generous.",2026-02-23,True,25,positive
REV00162,Denim Jeans,clothing,3,"To be honest, Decent for the price, but not great. One star is too generous.",2026-05-10,True,3,neutral
REV00163,Running Shoes,clothing,5,"<p>My experience: Excellent quality fabric, feels soft and durable. Five stars from me!</p>",2026-04-16,True,11,positive
REV00164,Cotton T-Shirt,clothing,2,"Honestly, Color is completely different from the photos. One star is too generous.",2026-02-08,True,15,negative
REV00165,Desk Lamp,home,5,"After using it for a month, Easy to clean and maintain. Perfect for my needs.",2025-12-29,False,40,positive
REV00166,Smartphone X1,electronics,5,Just received it and Amazing battery life! Lasts all day without charging. Perfect for my needs.,2026-03-22,True,17,positive
REV00167,Air Purifier,home,2,"I must say, Broke after just 2 weeks of use! Not recommended.",2026-05-13,True,27,negative
REV00168,Vacuum Cleaner,home,2,<p>Just received it and Broke after just 2 weeks of use! You get what you pay for.</p>,2026-03-04,True,14,negative
REV00169,Air Purifier,home,5,UPDATE: Great features for the price. Perfect for my needs. Check my blog: www.reviews.com/mypost,2025-12-24,True,6,positive
REV00170,Laptop Pro 15,electronics,5,<p>The screen resolution is perfect for watching movies. You get what you pay for.</p>,2026-02-13,True,31,positive
REV00171,Smart Watch,electronics,1,"UPDATE: Poor build quality, feels cheap and plastic. Would buy again!",2026-04-22,True,12,negative
REV00172,Leather Belt,clothing,3,"Just received it and Fits okay, material is average. Perfect for my needs. Contact me: reviewer@email.com",2026-01-28,True,9,neutral
REV00173,Blender Pro,home,3,"My experience: Average product, meets basic needs. Total waste of money.",2026-01-14,True,2,neutral
REV00174,Coffee Maker,home,5,"EDIT: After more use, Compact size, fits perfectly in my space. Compact size, fits perfectly in my space. Not recommended.",2026-03-04,True,2,positive
REV00175,Running Shoes,clothing,3,"<p>UPDATE: Fits okay, material is average. You get what you pay for.</p>",2025-12-18,True,3,neutral
REV00176,Coffee Maker,home,5,Great features for the price. One star is too generous. Contact me: reviewer@email.com,2026-01-01,True,28,positive
REV00177,Smart Watch,electronics,5,"Super fast performance, handles multitasking effortlessly. Great build quality, feels premium and solid.",2026-03-15,False,43,positive
REV00178,Cotton T-Shirt,clothing,5,"In my opinion, Perfect fit! Very comfortable to wear all day. Disappointed overall.",2026-06-02,True,26,positive
REV00179,Denim Jeans,clothing,5,"<p>Honestly, Perfect fit! Very comfortable to wear all day. Beautiful color, exactly as shown in pictures. Five stars from me!</p>",2026-01-08,True,48,positive
REV00180,Denim Jeans,clothing,3,"To be honest, As expected from this brand. Total waste of money. Check my blog: www.reviews.com/mypost",2026-01-30,True,7,neutral
REV00181,Smart Watch,electronics,1,"Honestly, Camera is terrible, blurry photos even in daylight. Very slow, freezes constantly during use. Would buy again! Check my blog: www.reviews.com/mypost",2026-01-16,True,12,negative
REV00182,Cotton T-Shirt,clothing,5,"After using it for a month, Beautiful color, exactly as shown in pictures. Great value for money, highly recommend! Would buy again!",2026-02-28,True,10,positive
REV00183,Air Purifier,home,3,UPDATE: Okay for occasional use. Not recommended.,2026-05-13,False,7,neutral
REV00184,Smart Watch,electronics,5,"After using it for a month, Setup was incredibly easy, connected right away. Great build quality, feels premium and solid. Highly recommend! Check my blog: www.reviews.com/mypost",2026-04-11,False,32,positive
REV00185,Smartphone X1,electronics,2,"Honestly, Overheats after just 10 minutes of use. Five stars from me!",2026-01-21,False,13,negative
REV00186,Leather Belt,clothing,1,"In my opinion, Color is completely different from the photos. You get what you pay for.",2026-04-24,True,11,negative
REV00187,Running Shoes,clothing,5,"Honestly, True to size, the measurements were accurate. True to size, the measurements were accurate. Perfect for my needs.",2026-03-28,True,25,positive
REV00188,Cotton T-Shirt,clothing,2,"<p>Overall, Poor quality material, started falling apart after one wash. Would buy again!</p>",2026-03-22,False,1,negative
REV00189,Denim Jeans,clothing,2,"Just received it and Runs very small, order 2 sizes up! Highly recommend!",2026-01-15,True,6,negative
REV00190,Air Purifier,home,3,"Average product, meets basic needs. Highly recommend!",2026-05-11,True,7,neutral
REV00191,Denim Jeans,clothing,1,"Poor quality material, started falling apart after one wash.",2026-02-10,True,18,negative
REV00192,Winter Jacket,clothing,5,"After using it for a month, Great value for money, highly recommend! Washes well, no fading or shrinking. Perfect for my needs.",2026-01-01,True,23,positive
REV00193,Desk Lamp,home,5,"To be honest, Works like a charm! Makes perfect coffee every morning. Easy to clean and maintain. Perfect for my needs.",2026-05-30,True,47,positive
REV00194,Denim Jeans,clothing,5,"My experience: True to size, the measurements were accurate. Beautiful color, exactly as shown in pictures. Worth every penny!",2026-05-31,True,30,positive
REV00195,Air Purifier,home,1,"<p>To be honest, Broke after just 2 weeks of use! Flimsy construction, feels like it will break. Perfect for my needs.</p>",2026-05-26,False,4,negative
REV00196,Cotton T-Shirt,clothing,3,"Standard quality, nothing remarkable. Worth every penny!",2026-02-06,True,7,neutral
REV00197,Denim Jeans,clothing,5,"Great value for money, highly recommend! Would buy again!",2026-01-28,True,22,positive
REV00198,Air Purifier,home,5,<p>Just received it and Great features for the price. Highly recommend!</p>,2025-12-20,True,37,positive
REV00199,Leather Belt,clothing,5,"UPDATE: Great value for money, highly recommend! Excellent quality fabric, feels soft and durable. Disappointed overall.",2025-12-16,False,38,positive
