id,text,category,topic
35,"Até agora, não encontramos evidências definitivas de vida extraterrestre. Mas há bilhões de planetas na zona habitável de suas estrelas só na Via Láctea. Missões como o telescópio James Webb estão procurando biosignaturas em exoplanetas.",vida,busca
36,"Existem planos para estabelecer uma base permanente na Lua na década de 2030 e eventualmente enviar humanos para Marte. A SpaceX, NASA e outras agências espaciais estão desenvolvendo tecnologia para tornar isso possível.",futuro,colonizacao
37,"O Big Bang foi a expansão explosiva do universo a partir de um estado extremamente quente e denso há cerca de 13,8 bilhões de anos. Não foi uma explosão no espaço, mas sim a expansão do próprio espaço.",big_bang,origem
38,"Sim, o universo está se expandindo! Edwin Hubble descobriu isso em 1929. E mais surpreendente: a expansão está acelerando, provavelmente devido à energia escura, uma força misteriosa que compõe 68% do universo.",expansao,universo
39,O universo observável tem cerca de 93 bilhões de anos-luz de diâmetro. Mas o universo total pode ser infinitamente maior - ou até infinito. Só conseguimos ver até onde a luz teve tempo de chegar desde o Big Bang.,tamanho,universo
40,"Não sabemos se o universo tem fim. Ele pode ser infinito, ou pode ter uma curvatura que o torna finito mas sem bordas (como a superfície de uma esfera). As medições atuais sugerem que é quase perfeitamente plano.",forma,universo
41,Asteroides são rochas espaciais que variam de alguns metros a centenas de quilômetros de diâmetro. A maioria está no Cinturão de Asteroides entre Marte e Júpiter. Alguns passam perto da Terra e são monitorados para prevenir impactos.,asteroides,objetos
42,"Cometas são bolas de gelo, poeira e rochas que orbitam o Sol em órbitas elípticas. Quando se aproximam do Sol, o gelo sublima formando uma coma brilhante e uma cauda que pode ter milhões de km de comprimento.",cometas,objetos
43,"Um eclipse solar ocorre quando a Lua passa entre a Terra e o Sol, bloqueando sua luz. Um eclipse lunar ocorre quando a Terra fica entre o Sol e a Lua, projetando sua sombra na Lua.",eclipses,fenomenos
44,"O céu é escuro no espaço porque não há atmosfera para espalhar a luz. Na Terra, o céu é azul porque nossa atmosfera espalha a luz azul do Sol em todas as direções. No espaço, você vê apenas as estrelas contra o fundo negro.",espaco,fenomenos
45,"Matéria escura é uma forma invisível de matéria que não emite, absorve ou reflete luz, mas exerce força gravitacional. Compõe cerca de 27% do universo. Sabemos que existe porque vemos seus efeitos gravitacionais em galáxias e aglomerados.",materia_escura,misterios
46,Constelações são padrões de estrelas que as civilizações antigas imaginavam no céu. Elas não existem fisicamente - as estrelas de uma constelação geralmente estão a distâncias muito diferentes de nós. Existem 88 constelações oficialmente reconhecidas.,constelacoes,cultura
47,"A luz viaja a 299.792 km por segundo - rápido o suficiente para dar 7,5 voltas ao redor da Terra em um segundo! Um ano-luz é a distância que a luz percorre em um ano: cerca de 9,5 trilhões de km.",luz,medidas
48,"O telescópio espacial James Webb, lançado em 2021, é o telescópio mais poderoso já construído. Ele observa no infravermelho e pode ver galáxias que se formaram apenas 200 milhões de anos após o Big Bang.",telescopios,tecnologia
49,"A temperatura no espaço varia extremamente. Longe de estrelas, pode chegar a -270°C (apenas 3°C acima do zero absoluto). Perto de estrelas ou em órbita da Terra ao Sol, pode ultrapassar 120°C.",temperatura,espaco
50,"A gravidade não desaparece no espaço! Astronautas na ISS experimentam cerca de 90% da gravidade da superfície terrestre. Eles flutuam porque estão em queda livre contínua ao redor da Terra, criando a sensação de ausência de gravidade.",gravidade,conceitos
