text,intent,is_anomaly,anomaly_score,anomaly_type
qual o signo de quem nasceu em 05/03?,identificar_signo,True,0.5931,statistical
qual o signo de quem nasceu em 25/04?,identificar_signo,True,0.5927,statistical
qual o signo de quem nasceu em 10/06?,identificar_signo,True,0.5916,statistical
qual o signo de quem nasceu em 30/07?,identificar_signo,True,0.5936,statistical
qual o signo de quem nasceu em 15/08?,identificar_signo,False,0.5897,normal
qual o signo de quem nasceu em 20/09?,identificar_signo,False,0.5904,normal
qual o signo de quem nasceu em 31/10?,identificar_signo,True,0.5919,statistical
qual o signo de quem nasceu em 15/11?,identificar_signo,False,0.589,normal
qual o signo de quem nasceu em 25/12?,identificar_signo,True,0.5913,statistical
qual o signo de quem nasceu em 14/02?,identificar_signo,True,0.591,statistical
qual o signo de quem nasceu em 01/05?,identificar_signo,True,0.5921,statistical
como é o signo de Áries?,caracteristicas_signo,False,0.5849,normal
como é o signo de Touro?,caracteristicas_signo,False,0.5827,normal
como é o signo de Gêmeos?,caracteristicas_signo,False,0.5805,normal
como é o signo de Câncer?,caracteristicas_signo,False,0.5821,normal
como é o signo de Leão?,caracteristicas_signo,False,0.5827,normal
como é o signo de Virgem?,caracteristicas_signo,False,0.582,normal
como é o signo de Libra?,caracteristicas_signo,False,0.5808,normal
como é o signo de Escorpião?,caracteristicas_signo,False,0.5825,normal
como é o signo de Sagitário?,caracteristicas_signo,False,0.5826,normal
como é o signo de Capricórnio?,caracteristicas_signo,False,0.5813,normal
como é o signo de Aquário?,caracteristicas_signo,False,0.581,normal
como é o signo de Peixes?,caracteristicas_signo,False,0.5823,normal
me fala sobre Áries,caracteristicas_signo,False,0.5847,normal
me fala sobre Touro,caracteristicas_signo,False,0.5851,normal
me fala sobre Gêmeos,caracteristicas_signo,False,0.5838,normal
me fala sobre Câncer,caracteristicas_signo,False,0.5848,normal
me fala sobre Leão,caracteristicas_signo,False,0.5832,normal
me fala sobre Virgem,caracteristicas_signo,False,0.583,normal
me fala sobre Libra,caracteristicas_signo,False,0.5827,normal
me fala sobre Escorpião,caracteristicas_signo,False,0.5835,normal
me fala sobre Sagitário,caracteristicas_signo,False,0.5837,normal
me fala sobre Capricórnio,caracteristicas_signo,False,0.5838,normal
me fala sobre Aquário,caracteristicas_signo,False,0.584,normal
me fala sobre Peixes,caracteristicas_signo,False,0.5842,normal
quais as características de Áries?,caracteristicas_signo,False,0.5838,normal
quais as características de Touro?,caracteristicas_signo,False,0.5838,normal
quais as características de Gêmeos?,caracteristicas_signo,False,0.5818,normal
quais as características de Câncer?,caracteristicas_signo,False,0.5829,normal
quais as características de Leão?,caracteristicas_signo,False,0.5821,normal
quais as características de Virgem?,caracteristicas_signo,False,0.5821,normal
quais as características de Libra?,caracteristicas_signo,False,0.5807,normal
quais as características de Escorpião?,caracteristicas_signo,False,0.582,normal
quais as características de Sagitário?,caracteristicas_signo,False,0.5806,normal
quais as características de Capricórnio?,caracteristicas_signo,False,0.5821,normal
quais as características de Aquário?,caracteristicas_signo,False,0.5813,normal
quais as características de Peixes?,caracteristicas_signo,False,0.5816,normal
como é uma pessoa de Áries?,caracteristicas_signo,False,0.5843,normal
como é uma pessoa de Touro?,caracteristicas_signo,False,0.5837,normal
como é uma pessoa de Gêmeos?,caracteristicas_signo,False,0.5828,normal
como é uma pessoa de Câncer?,caracteristicas_signo,False,0.5827,normal
como é uma pessoa de Leão?,caracteristicas_signo,False,0.5831,normal
como é uma pessoa de Virgem?,caracteristicas_signo,False,0.5832,normal
como é uma pessoa de Libra?,caracteristicas_signo,False,0.5832,normal
como é uma pessoa de Escorpião?,caracteristicas_signo,False,0.5819,normal
como é uma pessoa de Sagitário?,caracteristicas_signo,False,0.5829,normal
como é uma pessoa de Capricórnio?,caracteristicas_signo,False,0.5836,normal
como é uma pessoa de Aquário?,caracteristicas_signo,False,0.5837,normal
como é uma pessoa de Peixes?,caracteristicas_signo,False,0.584,normal
Áries é como?,caracteristicas_signo,False,0.5825,normal
Touro é como?,caracteristicas_signo,False,0.5809,normal
Gêmeos é como?,caracteristicas_signo,False,0.5792,normal
Câncer é como?,caracteristicas_signo,False,0.5796,normal
Leão é como?,caracteristicas_signo,False,0.581,normal
Virgem é como?,caracteristicas_signo,False,0.58,normal
Libra é como?,caracteristicas_signo,False,0.5799,normal
Escorpião é como?,caracteristicas_signo,False,0.5807,normal
Sagitário é como?,caracteristicas_signo,False,0.5805,normal
Capricórnio é como?,caracteristicas_signo,False,0.5791,normal
Aquário é como?,caracteristicas_signo,False,0.5792,normal
Peixes é como?,caracteristicas_signo,False,0.5814,normal
descreva Áries,caracteristicas_signo,False,0.5827,normal
descreva Touro,caracteristicas_signo,False,0.5819,normal
descreva Gêmeos,caracteristicas_signo,False,0.5781,normal
descreva Câncer,caracteristicas_signo,False,0.5802,normal
descreva Leão,caracteristicas_signo,False,0.5807,normal
descreva Virgem,caracteristicas_signo,False,0.5808,normal
descreva Libra,caracteristicas_signo,False,0.5789,normal
descreva Escorpião,caracteristicas_signo,False,0.5827,normal
descreva Sagitário,caracteristicas_signo,False,0.5807,normal
descreva Capricórnio,caracteristicas_signo,False,0.5789,normal
descreva Aquário,caracteristicas_signo,False,0.5791,normal
descreva Peixes,caracteristicas_signo,False,0.5806,normal
o que você sabe sobre Áries?,caracteristicas_signo,False,0.5875,normal
o que você sabe sobre Touro?,caracteristicas_signo,False,0.5894,normal
o que você sabe sobre Gêmeos?,caracteristicas_signo,False,0.5876,normal
o que você sabe sobre Câncer?,caracteristicas_signo,False,0.5879,normal
o que você sabe sobre Leão?,caracteristicas_signo,False,0.59,normal
o que você sabe sobre Virgem?,caracteristicas_signo,False,0.5879,normal
o que você sabe sobre Libra?,caracteristicas_signo,False,0.5864,normal
o que você sabe sobre Escorpião?,caracteristicas_signo,False,0.588,normal
o que você sabe sobre Sagitário?,caracteristicas_signo,False,0.5865,normal
o que você sabe sobre Capricórnio?,caracteristicas_signo,False,0.5876,normal
o que você sabe sobre Aquário?,caracteristicas_signo,False,0.5888,normal
o que você sabe sobre Peixes?,caracteristicas_signo,False,0.5874,normal
fale sobre o signo Áries,caracteristicas_signo,False,0.585,normal
fale sobre o signo Touro,caracteristicas_signo,False,0.5835,normal
fale sobre o signo Gêmeos,caracteristicas_signo,False,0.5813,normal
fale sobre o signo Câncer,caracteristicas_signo,False,0.5821,normal
fale sobre o signo Leão,caracteristicas_signo,False,0.5829,normal
fale sobre o signo Virgem,caracteristicas_signo,False,0.5816,normal
fale sobre o signo Libra,caracteristicas_signo,False,0.5805,normal
fale sobre o signo Escorpião,caracteristicas_signo,False,0.5836,normal
fale sobre o signo Sagitário,caracteristicas_signo,False,0.5824,normal
fale sobre o signo Capricórnio,caracteristicas_signo,False,0.5808,normal
fale sobre o signo Aquário,caracteristicas_signo,False,0.5819,normal
fale sobre o signo Peixes,caracteristicas_signo,False,0.5817,normal
explique Áries,caracteristicas_signo,False,0.584,normal
explique Touro,caracteristicas_signo,False,0.5839,normal
explique Gêmeos,caracteristicas_signo,False,0.5804,normal
explique Câncer,caracteristicas_signo,False,0.5821,normal
explique Leão,caracteristicas_signo,False,0.5816,normal
explique Virgem,caracteristicas_signo,False,0.5822,normal
explique Libra,caracteristicas_signo,False,0.5808,normal
explique Escorpião,caracteristicas_signo,False,0.5825,normal
explique Sagitário,caracteristicas_signo,False,0.5808,normal
explique Capricórnio,caracteristicas_signo,False,0.5809,normal
explique Aquário,caracteristicas_signo,False,0.5804,normal
explique Peixes,caracteristicas_signo,False,0.5816,normal
características de Áries,caracteristicas_signo,False,0.5823,normal
características de Touro,caracteristicas_signo,False,0.581,normal
características de Gêmeos,caracteristicas_signo,False,0.579,normal
características de Câncer,caracteristicas_signo,False,0.5815,normal
características de Leão,caracteristicas_signo,False,0.5803,normal
características de Virgem,caracteristicas_signo,False,0.5802,normal
características de Libra,caracteristicas_signo,False,0.5793,normal
características de Escorpião,caracteristicas_signo,False,0.5815,normal
características de Sagitário,caracteristicas_signo,False,0.5802,normal
características de Capricórnio,caracteristicas_signo,False,0.5786,normal
características de Aquário,caracteristicas_signo,False,0.5795,normal
características de Peixes,caracteristicas_signo,False,0.5804,normal
Áries combina com Leão?,compatibilidade,False,0.5891,normal
Touro combina com Virgem?,compatibilidade,False,0.5908,normal
Gêmeos combina com Libra?,compatibilidade,False,0.5857,normal
Câncer combina com Escorpião?,compatibilidade,False,0.5906,normal
Leão combina com Sagitário?,compatibilidade,False,0.5885,normal
Virgem combina com Capricórnio?,compatibilidade,False,0.588,normal
compatibilidade entre Áries e Leão,compatibilidade,False,0.5876,normal
compatibilidade entre Touro e Virgem,compatibilidade,False,0.5886,normal
compatibilidade entre Gêmeos e Libra,compatibilidade,False,0.5872,normal
compatibilidade entre Câncer e Escorpião,compatibilidade,False,0.5887,normal
compatibilidade entre Leão e Sagitário,compatibilidade,False,0.5856,normal
compatibilidade entre Virgem e Capricórnio,compatibilidade,False,0.5875,normal
Áries e Leão são compatíveis?,compatibilidade,False,0.5907,normal
Touro e Virgem são compatíveis?,compatibilidade,True,0.5925,statistical
Gêmeos e Libra são compatíveis?,compatibilidade,False,0.5892,normal
Câncer e Escorpião são compatíveis?,compatibilidade,True,0.5912,statistical
Leão e Sagitário são compatíveis?,compatibilidade,False,0.588,normal
Virgem e Capricórnio são compatíveis?,compatibilidade,False,0.5885,normal
qual a compatibilidade de Áries com Leão?,compatibilidade,True,0.593,statistical
qual a compatibilidade de Touro com Virgem?,compatibilidade,True,0.5931,statistical
qual a compatibilidade de Gêmeos com Libra?,compatibilidade,True,0.5911,statistical
qual a compatibilidade de Câncer com Escorpião?,compatibilidade,True,0.5938,statistical
qual a compatibilidade de Leão com Sagitário?,compatibilidade,True,0.5912,statistical
qual a compatibilidade de Virgem com Capricórnio?,compatibilidade,True,0.5909,statistical
Áries dá certo com Leão?,compatibilidade,True,0.5965,statistical
Touro dá certo com Virgem?,compatibilidade,True,0.5984,statistical
Gêmeos dá certo com Libra?,compatibilidade,True,0.5965,statistical
Câncer dá certo com Escorpião?,compatibilidade,True,0.5989,statistical
Leão dá certo com Sagitário?,compatibilidade,True,0.5955,statistical
Virgem dá certo com Capricórnio?,compatibilidade,True,0.5982,statistical
relacionamento entre Áries e Leão,compatibilidade,False,0.5865,normal
relacionamento entre Touro e Virgem,compatibilidade,False,0.5886,normal
relacionamento entre Gêmeos e Libra,compatibilidade,False,0.5864,normal
relacionamento entre Câncer e Escorpião,compatibilidade,False,0.5878,normal
relacionamento entre Leão e Sagitário,compatibilidade,False,0.5846,normal
relacionamento entre Virgem e Capricórnio,compatibilidade,False,0.5872,normal
horóscopo de hoje para Áries,horoscopo_hoje,False,0.5864,normal
horóscopo de hoje para Touro,horoscopo_hoje,False,0.5874,normal
horóscopo de hoje para Leão,horoscopo_hoje,False,0.585,normal
horóscopo de hoje para Virgem,horoscopo_hoje,False,0.5853,normal
previsão de Áries hoje,horoscopo_hoje,False,0.5873,normal
previsão de Touro hoje,horoscopo_hoje,False,0.5864,normal
previsão de Leão hoje,horoscopo_hoje,False,0.5842,normal
previsão de Virgem hoje,horoscopo_hoje,False,0.5844,normal
como está Áries hoje?,horoscopo_hoje,False,0.5852,normal
como está Touro hoje?,horoscopo_hoje,False,0.5836,normal
como está Leão hoje?,horoscopo_hoje,False,0.5836,normal
como está Virgem hoje?,horoscopo_hoje,False,0.5831,normal
o que esperar hoje para Áries?,horoscopo_hoje,False,0.5888,normal
o que esperar hoje para Touro?,horoscopo_hoje,False,0.5906,normal
o que esperar hoje para Leão?,horoscopo_hoje,False,0.5879,normal
o que esperar hoje para Virgem?,horoscopo_hoje,False,0.5883,normal
horóscopo do dia de Áries,horoscopo_hoje,False,0.5866,normal
horóscopo do dia de Touro,horoscopo_hoje,False,0.5862,normal
horóscopo do dia de Leão,horoscopo_hoje,False,0.5848,normal
horóscopo do dia de Virgem,horoscopo_hoje,False,0.5852,normal
previsão diária de Áries,horoscopo_hoje,False,0.5881,normal
previsão diária de Touro,horoscopo_hoje,False,0.5881,normal
previsão diária de Leão,horoscopo_hoje,False,0.5858,normal
previsão diária de Virgem,horoscopo_hoje,False,0.5861,normal
o que é mapa astral?,explicar_mapa_astral,False,0.5865,normal
explica mapa astral,explicar_mapa_astral,False,0.5862,normal
como fazer mapa astral?,explicar_mapa_astral,False,0.5855,normal
mapa astral serve pra quê?,explicar_mapa_astral,True,0.5941,statistical
o que significa mapa astral?,explicar_mapa_astral,False,0.5872,normal
qual a importância do mapa astral?,explicar_mapa_astral,False,0.5902,normal
me explique sobre mapa astral,explicar_mapa_astral,False,0.5882,normal
quero entender mapa astral,explicar_mapa_astral,False,0.5846,normal
o que são signos de fogo?,elementos,False,0.5904,normal
signos de água quais são?,elementos,False,0.5879,normal
me fala sobre signos de terra,elementos,False,0.5884,normal
quais os signos de ar?,elementos,False,0.5896,normal
características dos signos de fogo,elementos,False,0.5882,normal
oi,saudacao,False,0.5777,normal
olá,saudacao,False,0.5794,normal
ola,saudacao,False,0.5769,normal
hey,saudacao,False,0.5775,normal
e aí,saudacao,False,0.5806,normal
bom dia,saudacao,False,0.5814,normal
boa tarde,saudacao,False,0.5837,normal
boa noite,saudacao,False,0.5828,normal
tudo bem?,saudacao,False,0.5881,normal
como vai?,saudacao,False,0.5823,normal
"oi, tudo bem?",saudacao,False,0.5874,normal
"olá, como está?",saudacao,False,0.5835,normal
obrigado,agradecimento,False,0.5805,normal
obrigada,agradecimento,False,0.5793,normal
valeu,agradecimento,False,0.5758,normal
thanks,agradecimento,False,0.5774,normal
brigado,agradecimento,False,0.5816,normal
muito obrigado,agradecimento,False,0.5807,normal
agradeço,agradecimento,False,0.5783,normal
grato,agradecimento,False,0.5785,normal
grata,agradecimento,False,0.5785,normal
