text,intent,is_anomaly,anomaly_score,anomaly_type,text_expanded,expansion_terms
"nasci em 01/05, qual meu signo?",identificar_signo,True,0.591,statistical,"nasci em 01/05, qual meu signo?",[]
"meu aniversário é 15/01, qual signo sou?",identificar_signo,False,0.5865,normal,"meu aniversário é 15/01, qual signo sou?",[]
"meu aniversário é 05/03, qual signo sou?",identificar_signo,False,0.5866,normal,"meu aniversário é 05/03, qual signo sou?",[]
"meu aniversário é 25/04, qual signo sou?",identificar_signo,False,0.5857,normal,"meu aniversário é 25/04, qual signo sou?",[]
"meu aniversário é 10/06, qual signo sou?",identificar_signo,False,0.5872,normal,"meu aniversário é 10/06, qual signo sou?",[]
"meu aniversário é 30/07, qual signo sou?",identificar_signo,False,0.5873,normal,"meu aniversário é 30/07, qual signo sou?",[]
"meu aniversário é 15/08, qual signo sou?",identificar_signo,False,0.5853,normal,"meu aniversário é 15/08, qual signo sou?",[]
"meu aniversário é 20/09, qual signo sou?",identificar_signo,False,0.5855,normal,"meu aniversário é 20/09, qual signo sou?",[]
"meu aniversário é 31/10, qual signo sou?",identificar_signo,False,0.5882,normal,"meu aniversário é 31/10, qual signo sou?",[]
"meu aniversário é 15/11, qual signo sou?",identificar_signo,False,0.5851,normal,"meu aniversário é 15/11, qual signo sou?",[]
"meu aniversário é 25/12, qual signo sou?",identificar_signo,False,0.587,normal,"meu aniversário é 25/12, qual signo sou?",[]
"meu aniversário é 14/02, qual signo sou?",identificar_signo,False,0.5848,normal,"meu aniversário é 14/02, qual signo sou?",[]
"meu aniversário é 01/05, qual signo sou?",identificar_signo,False,0.5879,normal,"meu aniversário é 01/05, qual signo sou?",[]
que signo é 15/01?,identificar_signo,False,0.5875,normal,que signo é 15/01?,[]
que signo é 05/03?,identificar_signo,False,0.5868,normal,que signo é 05/03?,[]
que signo é 25/04?,identificar_signo,False,0.5867,normal,que signo é 25/04?,[]
que signo é 10/06?,identificar_signo,False,0.5906,normal,que signo é 10/06?,[]
que signo é 30/07?,identificar_signo,False,0.5888,normal,que signo é 30/07?,[]
que signo é 15/08?,identificar_signo,False,0.5856,normal,que signo é 15/08?,[]
que signo é 20/09?,identificar_signo,False,0.5885,normal,que signo é 20/09?,[]
que signo é 31/10?,identificar_signo,False,0.5909,normal,que signo é 31/10?,[]
que signo é 15/11?,identificar_signo,False,0.588,normal,que signo é 15/11?,[]
que signo é 25/12?,identificar_signo,False,0.5882,normal,que signo é 25/12?,[]
que signo é 14/02?,identificar_signo,False,0.5873,normal,que signo é 14/02?,[]
que signo é 01/05?,identificar_signo,False,0.5873,normal,que signo é 01/05?,[]
qual signo corresponde a 15/01?,identificar_signo,False,0.5879,normal,qual signo corresponde a 15/01?,[]
qual signo corresponde a 05/03?,identificar_signo,False,0.5885,normal,qual signo corresponde a 05/03?,[]
qual signo corresponde a 25/04?,identificar_signo,False,0.588,normal,qual signo corresponde a 25/04?,[]
qual signo corresponde a 10/06?,identificar_signo,True,0.5909,statistical,qual signo corresponde a 10/06?,[]
qual signo corresponde a 30/07?,identificar_signo,False,0.5887,normal,qual signo corresponde a 30/07?,[]
qual signo corresponde a 15/08?,identificar_signo,False,0.5853,normal,qual signo corresponde a 15/08?,[]
qual signo corresponde a 20/09?,identificar_signo,False,0.5886,normal,qual signo corresponde a 20/09?,[]
qual signo corresponde a 31/10?,identificar_signo,False,0.5898,normal,qual signo corresponde a 31/10?,[]
qual signo corresponde a 15/11?,identificar_signo,False,0.5871,normal,qual signo corresponde a 15/11?,[]
qual signo corresponde a 25/12?,identificar_signo,False,0.5875,normal,qual signo corresponde a 25/12?,[]
qual signo corresponde a 14/02?,identificar_signo,False,0.5862,normal,qual signo corresponde a 14/02?,[]
qual signo corresponde a 01/05?,identificar_signo,False,0.5892,normal,qual signo corresponde a 01/05?,[]
"sou de 15/01, qual meu signo?",identificar_signo,False,0.587,normal,"sou de 15/01, qual meu signo?",[]
"sou de 05/03, qual meu signo?",identificar_signo,False,0.5867,normal,"sou de 05/03, qual meu signo?",[]
"sou de 25/04, qual meu signo?",identificar_signo,False,0.5862,normal,"sou de 25/04, qual meu signo?",[]
"sou de 10/06, qual meu signo?",identificar_signo,False,0.5883,normal,"sou de 10/06, qual meu signo?",[]
"sou de 30/07, qual meu signo?",identificar_signo,False,0.5877,normal,"sou de 30/07, qual meu signo?",[]
"sou de 15/08, qual meu signo?",identificar_signo,False,0.585,normal,"sou de 15/08, qual meu signo?",[]
"sou de 20/09, qual meu signo?",identificar_signo,False,0.5876,normal,"sou de 20/09, qual meu signo?",[]
"sou de 31/10, qual meu signo?",identificar_signo,False,0.5887,normal,"sou de 31/10, qual meu signo?",[]
"sou de 15/11, qual meu signo?",identificar_signo,False,0.5843,normal,"sou de 15/11, qual meu signo?",[]
"sou de 25/12, qual meu signo?",identificar_signo,False,0.5871,normal,"sou de 25/12, qual meu signo?",[]
"sou de 14/02, qual meu signo?",identificar_signo,False,0.5854,normal,"sou de 14/02, qual meu signo?",[]
"sou de 01/05, qual meu signo?",identificar_signo,False,0.5879,normal,"sou de 01/05, qual meu signo?",[]
15/01 é de qual signo?,identificar_signo,False,0.5871,normal,15/01 é de qual signo?,[]
05/03 é de qual signo?,identificar_signo,False,0.5868,normal,05/03 é de qual signo?,[]
25/04 é de qual signo?,identificar_signo,False,0.587,normal,25/04 é de qual signo?,[]
10/06 é de qual signo?,identificar_signo,False,0.5889,normal,10/06 é de qual signo?,[]
30/07 é de qual signo?,identificar_signo,False,0.586,normal,30/07 é de qual signo?,[]
15/08 é de qual signo?,identificar_signo,False,0.5835,normal,15/08 é de qual signo?,[]
20/09 é de qual signo?,identificar_signo,False,0.5868,normal,20/09 é de qual signo?,[]
31/10 é de qual signo?,identificar_signo,False,0.5878,normal,31/10 é de qual signo?,[]
15/11 é de qual signo?,identificar_signo,False,0.5855,normal,15/11 é de qual signo?,[]
25/12 é de qual signo?,identificar_signo,False,0.5871,normal,25/12 é de qual signo?,[]
14/02 é de qual signo?,identificar_signo,False,0.5856,normal,14/02 é de qual signo?,[]
01/05 é de qual signo?,identificar_signo,False,0.5866,normal,01/05 é de qual signo?,[]
qual o signo de quem nasceu em 15/01?,identificar_signo,True,0.5912,statistical,qual o signo de quem nasceu em 15/01? pessoa qual,"[""pessoa"", ""qual""]"
qual o signo de quem nasceu em 05/03?,identificar_signo,True,0.5931,statistical,qual o signo de quem nasceu em 05/03? pessoa qual,"[""pessoa"", ""qual""]"
qual o signo de quem nasceu em 25/04?,identificar_signo,True,0.5927,statistical,qual o signo de quem nasceu em 25/04? pessoa qual,"[""pessoa"", ""qual""]"
qual o signo de quem nasceu em 10/06?,identificar_signo,True,0.5916,statistical,qual o signo de quem nasceu em 10/06? pessoa qual,"[""pessoa"", ""qual""]"
qual o signo de quem nasceu em 30/07?,identificar_signo,True,0.5936,statistical,qual o signo de quem nasceu em 30/07? pessoa qual,"[""pessoa"", ""qual""]"
qual o signo de quem nasceu em 15/08?,identificar_signo,False,0.5897,normal,qual o signo de quem nasceu em 15/08? pessoa qual,"[""pessoa"", ""qual""]"
qual o signo de quem nasceu em 20/09?,identificar_signo,False,0.5904,normal,qual o signo de quem nasceu em 20/09? pessoa qual,"[""pessoa"", ""qual""]"
qual o signo de quem nasceu em 31/10?,identificar_signo,True,0.5919,statistical,qual o signo de quem nasceu em 31/10? pessoa qual,"[""pessoa"", ""qual""]"
qual o signo de quem nasceu em 15/11?,identificar_signo,False,0.589,normal,qual o signo de quem nasceu em 15/11? pessoa qual,"[""pessoa"", ""qual""]"
qual o signo de quem nasceu em 25/12?,identificar_signo,True,0.5913,statistical,qual o signo de quem nasceu em 25/12? pessoa qual,"[""pessoa"", ""qual""]"
qual o signo de quem nasceu em 14/02?,identificar_signo,True,0.591,statistical,qual o signo de quem nasceu em 14/02? pessoa qual,"[""pessoa"", ""qual""]"
qual o signo de quem nasceu em 01/05?,identificar_signo,True,0.5921,statistical,qual o signo de quem nasceu em 01/05? pessoa qual,"[""pessoa"", ""qual""]"
como é o signo de Áries?,caracteristicas_signo,False,0.5849,normal,como é o signo de Áries? maneira forma modo,"[""maneira"", ""forma"", ""modo""]"
como é o signo de Touro?,caracteristicas_signo,False,0.5827,normal,como é o signo de Touro? maneira forma modo,"[""maneira"", ""forma"", ""modo""]"
como é o signo de Gêmeos?,caracteristicas_signo,False,0.5805,normal,como é o signo de Gêmeos? maneira forma modo,"[""maneira"", ""forma"", ""modo""]"
como é o signo de Câncer?,caracteristicas_signo,False,0.5821,normal,como é o signo de Câncer? maneira forma modo,"[""maneira"", ""forma"", ""modo""]"
como é o signo de Leão?,caracteristicas_signo,False,0.5827,normal,como é o signo de Leão? maneira forma modo,"[""maneira"", ""forma"", ""modo""]"
como é o signo de Virgem?,caracteristicas_signo,False,0.582,normal,como é o signo de Virgem? maneira forma modo,"[""maneira"", ""forma"", ""modo""]"
como é o signo de Libra?,caracteristicas_signo,False,0.5808,normal,como é o signo de Libra? maneira forma modo,"[""maneira"", ""forma"", ""modo""]"
como é o signo de Escorpião?,caracteristicas_signo,False,0.5825,normal,como é o signo de Escorpião? maneira forma modo,"[""maneira"", ""forma"", ""modo""]"
como é o signo de Sagitário?,caracteristicas_signo,False,0.5826,normal,como é o signo de Sagitário? maneira forma modo,"[""maneira"", ""forma"", ""modo""]"
como é o signo de Capricórnio?,caracteristicas_signo,False,0.5813,normal,como é o signo de Capricórnio? maneira forma modo,"[""maneira"", ""forma"", ""modo""]"
como é o signo de Aquário?,caracteristicas_signo,False,0.581,normal,como é o signo de Aquário? maneira forma modo,"[""maneira"", ""forma"", ""modo""]"
como é o signo de Peixes?,caracteristicas_signo,False,0.5823,normal,como é o signo de Peixes? maneira forma modo,"[""maneira"", ""forma"", ""modo""]"
me fala sobre Áries,caracteristicas_signo,False,0.5847,normal,me fala sobre Áries,[]
me fala sobre Touro,caracteristicas_signo,False,0.5851,normal,me fala sobre Touro,[]
me fala sobre Gêmeos,caracteristicas_signo,False,0.5838,normal,me fala sobre Gêmeos,[]
me fala sobre Câncer,caracteristicas_signo,False,0.5848,normal,me fala sobre Câncer,[]
me fala sobre Leão,caracteristicas_signo,False,0.5832,normal,me fala sobre Leão,[]
me fala sobre Virgem,caracteristicas_signo,False,0.583,normal,me fala sobre Virgem,[]
me fala sobre Libra,caracteristicas_signo,False,0.5827,normal,me fala sobre Libra,[]
me fala sobre Escorpião,caracteristicas_signo,False,0.5835,normal,me fala sobre Escorpião,[]
me fala sobre Sagitário,caracteristicas_signo,False,0.5837,normal,me fala sobre Sagitário,[]
me fala sobre Capricórnio,caracteristicas_signo,False,0.5838,normal,me fala sobre Capricórnio,[]
me fala sobre Aquário,caracteristicas_signo,False,0.584,normal,me fala sobre Aquário,[]
me fala sobre Peixes,caracteristicas_signo,False,0.5842,normal,me fala sobre Peixes,[]
quais as características de Áries?,caracteristicas_signo,False,0.5838,normal,quais as características de Áries?,[]
quais as características de Touro?,caracteristicas_signo,False,0.5838,normal,quais as características de Touro?,[]
quais as características de Gêmeos?,caracteristicas_signo,False,0.5818,normal,quais as características de Gêmeos?,[]
quais as características de Câncer?,caracteristicas_signo,False,0.5829,normal,quais as características de Câncer?,[]
quais as características de Leão?,caracteristicas_signo,False,0.5821,normal,quais as características de Leão?,[]
quais as características de Virgem?,caracteristicas_signo,False,0.5821,normal,quais as características de Virgem?,[]
quais as características de Libra?,caracteristicas_signo,False,0.5807,normal,quais as características de Libra?,[]
quais as características de Escorpião?,caracteristicas_signo,False,0.582,normal,quais as características de Escorpião?,[]
quais as características de Sagitário?,caracteristicas_signo,False,0.5806,normal,quais as características de Sagitário?,[]
quais as características de Capricórnio?,caracteristicas_signo,False,0.5821,normal,quais as características de Capricórnio?,[]
quais as características de Aquário?,caracteristicas_signo,False,0.5813,normal,quais as características de Aquário?,[]
quais as características de Peixes?,caracteristicas_signo,False,0.5816,normal,quais as características de Peixes?,[]
como é uma pessoa de Áries?,caracteristicas_signo,False,0.5843,normal,como é uma pessoa de Áries? maneira forma modo,"[""maneira"", ""forma"", ""modo""]"
como é uma pessoa de Touro?,caracteristicas_signo,False,0.5837,normal,como é uma pessoa de Touro? maneira forma modo,"[""maneira"", ""forma"", ""modo""]"
como é uma pessoa de Gêmeos?,caracteristicas_signo,False,0.5828,normal,como é uma pessoa de Gêmeos? maneira forma modo,"[""maneira"", ""forma"", ""modo""]"
como é uma pessoa de Câncer?,caracteristicas_signo,False,0.5827,normal,como é uma pessoa de Câncer? maneira forma modo,"[""maneira"", ""forma"", ""modo""]"
como é uma pessoa de Leão?,caracteristicas_signo,False,0.5831,normal,como é uma pessoa de Leão? maneira forma modo,"[""maneira"", ""forma"", ""modo""]"
como é uma pessoa de Virgem?,caracteristicas_signo,False,0.5832,normal,como é uma pessoa de Virgem? maneira forma modo,"[""maneira"", ""forma"", ""modo""]"
como é uma pessoa de Libra?,caracteristicas_signo,False,0.5832,normal,como é uma pessoa de Libra? maneira forma modo,"[""maneira"", ""forma"", ""modo""]"
como é uma pessoa de Escorpião?,caracteristicas_signo,False,0.5819,normal,como é uma pessoa de Escorpião? maneira forma modo,"[""maneira"", ""forma"", ""modo""]"
como é uma pessoa de Sagitário?,caracteristicas_signo,False,0.5829,normal,como é uma pessoa de Sagitário? maneira forma modo,"[""maneira"", ""forma"", ""modo""]"
como é uma pessoa de Capricórnio?,caracteristicas_signo,False,0.5836,normal,como é uma pessoa de Capricórnio? maneira forma modo,"[""maneira"", ""forma"", ""modo""]"
como é uma pessoa de Aquário?,caracteristicas_signo,False,0.5837,normal,como é uma pessoa de Aquário? maneira forma modo,"[""maneira"", ""forma"", ""modo""]"
como é uma pessoa de Peixes?,caracteristicas_signo,False,0.584,normal,como é uma pessoa de Peixes? maneira forma modo,"[""maneira"", ""forma"", ""modo""]"
Áries é como?,caracteristicas_signo,False,0.5825,normal,Áries é como?,[]
Touro é como?,caracteristicas_signo,False,0.5809,normal,Touro é como?,[]
Gêmeos é como?,caracteristicas_signo,False,0.5792,normal,Gêmeos é como?,[]
Câncer é como?,caracteristicas_signo,False,0.5796,normal,Câncer é como?,[]
Leão é como?,caracteristicas_signo,False,0.581,normal,Leão é como?,[]
Virgem é como?,caracteristicas_signo,False,0.58,normal,Virgem é como?,[]
Libra é como?,caracteristicas_signo,False,0.5799,normal,Libra é como?,[]
Escorpião é como?,caracteristicas_signo,False,0.5807,normal,Escorpião é como?,[]
Sagitário é como?,caracteristicas_signo,False,0.5805,normal,Sagitário é como?,[]
Capricórnio é como?,caracteristicas_signo,False,0.5791,normal,Capricórnio é como?,[]
Aquário é como?,caracteristicas_signo,False,0.5792,normal,Aquário é como?,[]
Peixes é como?,caracteristicas_signo,False,0.5814,normal,Peixes é como?,[]
descreva Áries,caracteristicas_signo,False,0.5827,normal,descreva Áries,[]
descreva Touro,caracteristicas_signo,False,0.5819,normal,descreva Touro,[]
descreva Gêmeos,caracteristicas_signo,False,0.5781,normal,descreva Gêmeos,[]
descreva Câncer,caracteristicas_signo,False,0.5802,normal,descreva Câncer,[]
descreva Leão,caracteristicas_signo,False,0.5807,normal,descreva Leão,[]
descreva Virgem,caracteristicas_signo,False,0.5808,normal,descreva Virgem,[]
descreva Libra,caracteristicas_signo,False,0.5789,normal,descreva Libra,[]
descreva Escorpião,caracteristicas_signo,False,0.5827,normal,descreva Escorpião,[]
descreva Sagitário,caracteristicas_signo,False,0.5807,normal,descreva Sagitário,[]
descreva Capricórnio,caracteristicas_signo,False,0.5789,normal,descreva Capricórnio,[]
descreva Aquário,caracteristicas_signo,False,0.5791,normal,descreva Aquário,[]
descreva Peixes,caracteristicas_signo,False,0.5806,normal,descreva Peixes,[]
o que você sabe sobre Áries?,caracteristicas_signo,False,0.5875,normal,o que você sabe sobre Áries?,[]
o que você sabe sobre Touro?,caracteristicas_signo,False,0.5894,normal,o que você sabe sobre Touro?,[]
o que você sabe sobre Gêmeos?,caracteristicas_signo,False,0.5876,normal,o que você sabe sobre Gêmeos?,[]
o que você sabe sobre Câncer?,caracteristicas_signo,False,0.5879,normal,o que você sabe sobre Câncer?,[]
o que você sabe sobre Leão?,caracteristicas_signo,False,0.59,normal,o que você sabe sobre Leão?,[]
o que você sabe sobre Virgem?,caracteristicas_signo,False,0.5879,normal,o que você sabe sobre Virgem?,[]
o que você sabe sobre Libra?,caracteristicas_signo,False,0.5864,normal,o que você sabe sobre Libra?,[]
o que você sabe sobre Escorpião?,caracteristicas_signo,False,0.588,normal,o que você sabe sobre Escorpião?,[]
o que você sabe sobre Sagitário?,caracteristicas_signo,False,0.5865,normal,o que você sabe sobre Sagitário?,[]
o que você sabe sobre Capricórnio?,caracteristicas_signo,False,0.5876,normal,o que você sabe sobre Capricórnio?,[]
o que você sabe sobre Aquário?,caracteristicas_signo,False,0.5888,normal,o que você sabe sobre Aquário?,[]
o que você sabe sobre Peixes?,caracteristicas_signo,False,0.5874,normal,o que você sabe sobre Peixes?,[]
fale sobre o signo Áries,caracteristicas_signo,False,0.585,normal,fale sobre o signo Áries,[]
fale sobre o signo Touro,caracteristicas_signo,False,0.5835,normal,fale sobre o signo Touro,[]
fale sobre o signo Gêmeos,caracteristicas_signo,False,0.5813,normal,fale sobre o signo Gêmeos,[]
fale sobre o signo Câncer,caracteristicas_signo,False,0.5821,normal,fale sobre o signo Câncer,[]
fale sobre o signo Leão,caracteristicas_signo,False,0.5829,normal,fale sobre o signo Leão,[]
fale sobre o signo Virgem,caracteristicas_signo,False,0.5816,normal,fale sobre o signo Virgem,[]
fale sobre o signo Libra,caracteristicas_signo,False,0.5805,normal,fale sobre o signo Libra,[]
fale sobre o signo Escorpião,caracteristicas_signo,False,0.5836,normal,fale sobre o signo Escorpião,[]
fale sobre o signo Sagitário,caracteristicas_signo,False,0.5824,normal,fale sobre o signo Sagitário,[]
fale sobre o signo Capricórnio,caracteristicas_signo,False,0.5808,normal,fale sobre o signo Capricórnio,[]
fale sobre o signo Aquário,caracteristicas_signo,False,0.5819,normal,fale sobre o signo Aquário,[]
fale sobre o signo Peixes,caracteristicas_signo,False,0.5817,normal,fale sobre o signo Peixes,[]
explique Áries,caracteristicas_signo,False,0.584,normal,explique Áries,[]
explique Touro,caracteristicas_signo,False,0.5839,normal,explique Touro,[]
explique Gêmeos,caracteristicas_signo,False,0.5804,normal,explique Gêmeos,[]
explique Câncer,caracteristicas_signo,False,0.5821,normal,explique Câncer,[]
explique Leão,caracteristicas_signo,False,0.5816,normal,explique Leão,[]
explique Virgem,caracteristicas_signo,False,0.5822,normal,explique Virgem,[]
explique Libra,caracteristicas_signo,False,0.5808,normal,explique Libra,[]
explique Escorpião,caracteristicas_signo,False,0.5825,normal,explique Escorpião,[]
explique Sagitário,caracteristicas_signo,False,0.5808,normal,explique Sagitário,[]
explique Capricórnio,caracteristicas_signo,False,0.5809,normal,explique Capricórnio,[]
explique Aquário,caracteristicas_signo,False,0.5804,normal,explique Aquário,[]
explique Peixes,caracteristicas_signo,False,0.5816,normal,explique Peixes,[]
características de Áries,caracteristicas_signo,False,0.5823,normal,características de Áries,[]
características de Touro,caracteristicas_signo,False,0.581,normal,características de Touro,[]
características de Gêmeos,caracteristicas_signo,False,0.579,normal,características de Gêmeos,[]
características de Câncer,caracteristicas_signo,False,0.5815,normal,características de Câncer,[]
características de Leão,caracteristicas_signo,False,0.5803,normal,características de Leão,[]
características de Virgem,caracteristicas_signo,False,0.5802,normal,características de Virgem,[]
características de Libra,caracteristicas_signo,False,0.5793,normal,características de Libra,[]
características de Escorpião,caracteristicas_signo,False,0.5815,normal,características de Escorpião,[]
características de Sagitário,caracteristicas_signo,False,0.5802,normal,características de Sagitário,[]
características de Capricórnio,caracteristicas_signo,False,0.5786,normal,características de Capricórnio,[]
características de Aquário,caracteristicas_signo,False,0.5795,normal,características de Aquário,[]
características de Peixes,caracteristicas_signo,False,0.5804,normal,características de Peixes,[]
Áries combina com Leão?,compatibilidade,False,0.5891,normal,Áries combina com Leão?,[]
Touro combina com Virgem?,compatibilidade,False,0.5908,normal,Touro combina com Virgem?,[]
Gêmeos combina com Libra?,compatibilidade,False,0.5857,normal,Gêmeos combina com Libra?,[]
Câncer combina com Escorpião?,compatibilidade,False,0.5906,normal,Câncer combina com Escorpião?,[]
Leão combina com Sagitário?,compatibilidade,False,0.5885,normal,Leão combina com Sagitário?,[]
Virgem combina com Capricórnio?,compatibilidade,False,0.588,normal,Virgem combina com Capricórnio?,[]
compatibilidade entre Áries e Leão,compatibilidade,False,0.5876,normal,compatibilidade entre Áries e Leão,[]
compatibilidade entre Touro e Virgem,compatibilidade,False,0.5886,normal,compatibilidade entre Touro e Virgem,[]
compatibilidade entre Gêmeos e Libra,compatibilidade,False,0.5872,normal,compatibilidade entre Gêmeos e Libra,[]
compatibilidade entre Câncer e Escorpião,compatibilidade,False,0.5887,normal,compatibilidade entre Câncer e Escorpião,[]
compatibilidade entre Leão e Sagitário,compatibilidade,False,0.5856,normal,compatibilidade entre Leão e Sagitário,[]
compatibilidade entre Virgem e Capricórnio,compatibilidade,False,0.5875,normal,compatibilidade entre Virgem e Capricórnio,[]
Áries e Leão são compatíveis?,compatibilidade,False,0.5907,normal,Áries e Leão são compatíveis?,[]
Touro e Virgem são compatíveis?,compatibilidade,True,0.5925,statistical,Touro e Virgem são compatíveis?,[]
Gêmeos e Libra são compatíveis?,compatibilidade,False,0.5892,normal,Gêmeos e Libra são compatíveis?,[]
Câncer e Escorpião são compatíveis?,compatibilidade,True,0.5912,statistical,Câncer e Escorpião são compatíveis?,[]
Leão e Sagitário são compatíveis?,compatibilidade,False,0.588,normal,Leão e Sagitário são compatíveis?,[]
Virgem e Capricórnio são compatíveis?,compatibilidade,False,0.5885,normal,Virgem e Capricórnio são compatíveis?,[]
qual a compatibilidade de Áries com Leão?,compatibilidade,True,0.593,statistical,qual a compatibilidade de Áries com Leão?,[]
qual a compatibilidade de Touro com Virgem?,compatibilidade,True,0.5931,statistical,qual a compatibilidade de Touro com Virgem?,[]
qual a compatibilidade de Gêmeos com Libra?,compatibilidade,True,0.5911,statistical,qual a compatibilidade de Gêmeos com Libra?,[]
qual a compatibilidade de Câncer com Escorpião?,compatibilidade,True,0.5938,statistical,qual a compatibilidade de Câncer com Escorpião?,[]
qual a compatibilidade de Leão com Sagitário?,compatibilidade,True,0.5912,statistical,qual a compatibilidade de Leão com Sagitário?,[]
qual a compatibilidade de Virgem com Capricórnio?,compatibilidade,True,0.5909,statistical,qual a compatibilidade de Virgem com Capricórnio?,[]
Áries dá certo com Leão?,compatibilidade,True,0.5965,statistical,Áries dá certo com Leão?,[]
Touro dá certo com Virgem?,compatibilidade,True,0.5984,statistical,Touro dá certo com Virgem?,[]
Gêmeos dá certo com Libra?,compatibilidade,True,0.5965,statistical,Gêmeos dá certo com Libra?,[]
Câncer dá certo com Escorpião?,compatibilidade,True,0.5989,statistical,Câncer dá certo com Escorpião?,[]
Leão dá certo com Sagitário?,compatibilidade,True,0.5955,statistical,Leão dá certo com Sagitário?,[]
Virgem dá certo com Capricórnio?,compatibilidade,True,0.5982,statistical,Virgem dá certo com Capricórnio?,[]
relacionamento entre Áries e Leão,compatibilidade,False,0.5865,normal,relacionamento entre Áries e Leão,[]
relacionamento entre Touro e Virgem,compatibilidade,False,0.5886,normal,relacionamento entre Touro e Virgem,[]
relacionamento entre Gêmeos e Libra,compatibilidade,False,0.5864,normal,relacionamento entre Gêmeos e Libra,[]
relacionamento entre Câncer e Escorpião,compatibilidade,False,0.5878,normal,relacionamento entre Câncer e Escorpião,[]
relacionamento entre Leão e Sagitário,compatibilidade,False,0.5846,normal,relacionamento entre Leão e Sagitário,[]
relacionamento entre Virgem e Capricórnio,compatibilidade,False,0.5872,normal,relacionamento entre Virgem e Capricórnio,[]
horóscopo de hoje para Áries,horoscopo_hoje,False,0.5864,normal,horóscopo de hoje para Áries,[]
horóscopo de hoje para Touro,horoscopo_hoje,False,0.5874,normal,horóscopo de hoje para Touro,[]
horóscopo de hoje para Leão,horoscopo_hoje,False,0.585,normal,horóscopo de hoje para Leão,[]
horóscopo de hoje para Virgem,horoscopo_hoje,False,0.5853,normal,horóscopo de hoje para Virgem,[]
previsão de Áries hoje,horoscopo_hoje,False,0.5873,normal,previsão de Áries hoje,[]
previsão de Touro hoje,horoscopo_hoje,False,0.5864,normal,previsão de Touro hoje,[]
previsão de Leão hoje,horoscopo_hoje,False,0.5842,normal,previsão de Leão hoje,[]
previsão de Virgem hoje,horoscopo_hoje,False,0.5844,normal,previsão de Virgem hoje,[]
como está Áries hoje?,horoscopo_hoje,False,0.5852,normal,como está Áries hoje? maneira forma modo,"[""maneira"", ""forma"", ""modo""]"
como está Touro hoje?,horoscopo_hoje,False,0.5836,normal,como está Touro hoje? maneira forma modo,"[""maneira"", ""forma"", ""modo""]"
como está Leão hoje?,horoscopo_hoje,False,0.5836,normal,como está Leão hoje? maneira forma modo,"[""maneira"", ""forma"", ""modo""]"
como está Virgem hoje?,horoscopo_hoje,False,0.5831,normal,como está Virgem hoje? maneira forma modo,"[""maneira"", ""forma"", ""modo""]"
o que esperar hoje para Áries?,horoscopo_hoje,False,0.5888,normal,o que esperar hoje para Áries?,[]
