review_text,rating,verified_purchase,helpful_votes,sentiment,review_text_normalized
"Terrible fit, way too small even though I ordered my size. Runs very small, order 2 sizes up! Five stars from me!",2,True,9,negative,"terrible fit, way too small even though i ordered my size. runs very small, order 2 sizes up! five stars from me!"
"<p>Overall, True to size, the measurements were accurate. Beautiful color, exactly as shown in pictures. Not recommended.</p>",4,True,29,positive,"overall, true to size, the measurements were accurate. beautiful color, exactly as shown in pictures. not recommended."
"UPDATE: Sturdy design, built to last. Would buy again! Contact me: reviewer@email.com",4,True,34,positive,"update: sturdy design, built to last. would buy again! contact me: reviewer@email.com"
"<p>My experience: Sound quality is awful, tinny and distorted. Very slow, freezes constantly during use. Total waste of money.</p> Contact me: reviewer@email.com",2,True,12,negative,"my experience: sound quality is awful, tinny and distorted. very slow, freezes constantly during use. total waste of money. contact me: reviewer@email.com"
"<p>After using it for a month, Color is completely different from the photos. Runs very small, order 2 sizes up! Disappointed overall.</p>",1,True,12,negative,"after using it for a month, color is completely different from the photos. runs very small, order 2 sizes up! disappointed overall."
"Super fast performance, handles multitasking effortlessly. Total waste of money. Contact me: reviewer@email.com",4,True,25,positive,"super fast performance, handles multitasking effortlessly. total waste of money. contact me: reviewer@email.com"
"My experience: Screen is too small and hard to read. Battery drains too quickly, barely lasts 3 hours. Contact me: reviewer@email.com",2,True,30,negative,"my experience: screen is too small and hard to read. battery drains too quickly, barely lasts 3 hours. contact me: reviewer@email.com"
"My experience: Difficult to clean, parts don't come apart easily. Broke after just 2 weeks of use! Save your money.",1,False,19,negative,"my experience: difficult to clean, parts don't come apart easily. broke after just 2 weeks of use! save your money."
"In my opinion, Sturdy design, built to last. Sturdy design, built to last.",5,True,33,positive,"in my opinion, sturdy design, built to last. sturdy design, built to last."
"<p>UPDATE: Powerful and efficient, cleans thoroughly. Great features for the price. You get what you pay for.</p>",5,True,32,positive,"update: powerful and efficient, cleans thoroughly. great features for the price. you get what you pay for."
"To be honest, Missing basic features, very disappointed. Not recommended.",1,True,15,negative,"to be honest, missing basic features, very disappointed. not recommended."
"Just received it and Looks stylish and modern, gets compliments. True to size, the measurements were accurate.",5,False,16,positive,"just received it and looks stylish and modern, gets compliments. true to size, the measurements were accurate."
"After using it for a month, True to size, the measurements were accurate. Five stars from me!",4,True,8,positive,"after using it for a month, true to size, the measurements were accurate. five stars from me!"
"EDIT: After more use, Great features for the price. Sturdy design, built to last. Would buy again! Contact me: reviewer@email.com",5,False,2,positive,"edit: after more use, great features for the price. sturdy design, built to last. would buy again! contact me: reviewer@email.com"
"Overall, Sturdy design, built to last. Powerful and efficient, cleans thoroughly. Five stars from me!",5,True,39,positive,"overall, sturdy design, built to last. powerful and efficient, cleans thoroughly. five stars from me!"
"UPDATE: Does the job, nothing more nothing less. Not recommended.",3,True,10,neutral,"update: does the job, nothing more nothing less. not recommended."
"<p>In my opinion, Washes well, no fading or shrinking. You get what you pay for.</p>",5,True,44,positive,"in my opinion, washes well, no fading or shrinking. you get what you pay for."
"Just received it and Fits okay, material is average. Not recommended.",3,False,9,neutral,"just received it and fits okay, material is average. not recommended."
"Honestly, Poor quality material, started falling apart after one wash. Not recommended.",1,True,4,negative,"honestly, poor quality material, started falling apart after one wash. not recommended."
"UPDATE: Runs very small, order 2 sizes up! Worth every penny!",1,True,20,negative,"update: runs very small, order 2 sizes up! worth every penny!"
"EDIT: After more use, Camera quality exceeded my expectations, photos are crisp. Save your money. Check my blog: www.reviews.com/mypost",5,True,16,positive,"edit: after more use, camera quality exceeded my expectations, photos are crisp. save your money. check my blog:"
"Missing basic features, very disappointed. Flimsy construction, feels like it will break. Would buy again!",2,False,0,negative,"missing basic features, very disappointed. flimsy construction, feels like it will break. would buy again!"
"I must say, Does the job, nothing more nothing less. Total waste of money.",3,True,3,neutral,"i must say, does the job, nothing more nothing less. total waste of money."
"EDIT: After more use, True to size, the measurements were accurate. One star is too generous. Contact me: reviewer@email.com",5,True,24,positive,"edit: after more use, true to size, the measurements were accurate. one star is too generous. contact me: reviewer@email.com"
"In my opinion, Takes up too much space, too bulky. Flimsy construction, feels like it will break. Would buy again!",2,True,20,negative,"in my opinion, takes up too much space, too bulky. flimsy construction, feels like it will break. would buy again!"
"<p>Honestly, Great build quality, feels premium and solid. The screen resolution is perfect for watching movies. Worth every penny!</p>",5,False,40,positive,"honestly, great build quality, feels premium and solid. the screen resolution is perfect for watching movies. worth every penny!"
"Just received it and Excellent quality fabric, feels soft and durable. Would buy again!",4,True,9,positive,"just received it and excellent quality fabric, feels soft and durable. would buy again!"
"After using it for a month, Quiet operation, barely makes any noise. Worth every penny!",5,True,19,positive,"after using it for a month, quiet operation, barely makes any noise. worth every penny!"
"It works as expected, nothing special. Total waste of money.",3,True,10,neutral,"it works as expected, nothing special. total waste of money."
"To be honest, The screen resolution is perfect for watching movies. Amazing battery life! Lasts all day without charging. Worth every penny!",5,False,11,positive,"to be honest, the screen resolution is perfect for watching movies. amazing battery life! lasts all day without charging. worth every penny!"
Perfect fit! Very comfortable to wear all day. You get what you pay for.,5,True,2,positive,perfect fit! very comfortable to wear all day. you get what you pay for.
"Just received it and Setup was incredibly easy, connected right away. Amazing battery life! Lasts all day without charging. Would buy again! Check my blog: www.reviews.com/mypost",5,True,30,positive,"just received it and setup was incredibly easy, connected right away. amazing battery life! lasts all day without charging. would buy again! check my blog:"
"<p>UPDATE: Average product, meets basic needs. Highly recommend!</p>",3,False,9,neutral,"update: average product, meets basic needs. highly recommend!"
"<p>To be honest, Average product, meets basic needs. Worth every penny!</p>",3,True,9,neutral,"to be honest, average product, meets basic needs. worth every penny!"
"EDIT: After more use, Standard features, what you would expect. One star is too generous. Check my blog: www.reviews.com/mypost",3,True,2,neutral,"edit: after more use, standard features, what you would expect. one star is too generous. check my blog:"
Overpriced for such low quality. Save your money.,1,True,25,negative,overpriced for such low quality. save your money.
"<p>EDIT: After more use, Decent for the price, but not great. Worth every penny!</p>",3,True,8,neutral,"edit: after more use, decent for the price, but not great. worth every penny!"
"Honestly, Broke after just 2 weeks of use! Takes up too much space, too bulky. Total waste of money.",1,False,4,negative,"honestly, broke after just 2 weeks of use! takes up too much space, too bulky. total waste of money."
"UPDATE: Sound quality is awful, tinny and distorted. Worth every penny! Check my blog: www.reviews.com/mypost",1,False,25,negative,"update: sound quality is awful, tinny and distorted. worth every penny! check my blog:"
"Honestly, Standard features, what you would expect. You get what you pay for. Check my blog: www.reviews.com/mypost",3,True,3,neutral,"honestly, standard features, what you would expect. you get what you pay for. check my blog:"
"<p>EDIT: After more use, Super fast performance, handles multitasking effortlessly. Disappointed overall.</p>",5,True,14,positive,"edit: after more use, super fast performance, handles multitasking effortlessly. disappointed overall."
"I must say, Quiet operation, barely makes any noise. Disappointed overall.",5,True,39,positive,"i must say, quiet operation, barely makes any noise. disappointed overall."
"In my opinion, True to size, the measurements were accurate. Great value for money, highly recommend! Perfect for my needs.",5,True,26,positive,"in my opinion, true to size, the measurements were accurate. great value for money, highly recommend! perfect for my needs."
"EDIT: After more use, Great features for the price. Easy to clean and maintain. Five stars from me!",4,True,3,positive,"edit: after more use, great features for the price. easy to clean and maintain. five stars from me!"
"In my opinion, Standard features, what you would expect. Five stars from me!",3,True,9,neutral,"in my opinion, standard features, what you would expect. five stars from me!"
"Overall, Screen is too small and hard to read. One star is too generous.",2,True,9,negative,"overall, screen is too small and hard to read. one star is too generous."
"<p>To be honest, Excellent quality fabric, feels soft and durable. Beautiful color, exactly as shown in pictures. One star is too generous.</p>",4,True,6,positive,"to be honest, excellent quality fabric, feels soft and durable. beautiful color, exactly as shown in pictures. one star is too generous."
"To be honest, Compact size, fits perfectly in my space. Perfect for my needs.",5,False,18,positive,"to be honest, compact size, fits perfectly in my space. perfect for my needs."
"To be honest, Standard features, what you would expect. Would buy again!",3,False,7,neutral,"to be honest, standard features, what you would expect. would buy again!"
"Honestly, Fits okay, material is average. One star is too generous.",3,True,0,neutral,"honestly, fits okay, material is average. one star is too generous."
"Overall, Decent performance, not amazing but okay. Save your money.",3,True,5,neutral,"overall, decent performance, not amazing but okay. save your money."
"Honestly, Average product for the price point. Not recommended.",3,True,9,neutral,"honestly, average product for the price point. not recommended."
"In my opinion, Looks stylish and modern, gets compliments. Perfect fit! Very comfortable to wear all day. Five stars from me!",4,True,45,positive,"in my opinion, looks stylish and modern, gets compliments. perfect fit! very comfortable to wear all day. five stars from me!"
"<p>UPDATE: Quiet operation, barely makes any noise. Easy to clean and maintain. Perfect for my needs.</p>",5,True,13,positive,"update: quiet operation, barely makes any noise. easy to clean and maintain. perfect for my needs."
"My experience: Does the job, nothing more nothing less. You get what you pay for.",3,True,7,neutral,"my experience: does the job, nothing more nothing less. you get what you pay for."
"My experience: Washes well, no fading or shrinking. Five stars from me!",5,False,46,positive,"my experience: washes well, no fading or shrinking. five stars from me!"
"UPDATE: Beautiful color, exactly as shown in pictures. Total waste of money.",5,True,5,positive,"update: beautiful color, exactly as shown in pictures. total waste of money."
"<p>EDIT: After more use, Sound quality is awful, tinny and distorted. Perfect for my needs.</p>",1,True,0,negative,"edit: after more use, sound quality is awful, tinny and distorted. perfect for my needs."
"After using it for a month, Very slow, freezes constantly during use. Battery drains too quickly, barely lasts 3 hours. Worth every penny!",1,False,24,negative,"after using it for a month, very slow, freezes constantly during use. battery drains too quickly, barely lasts 3 hours. worth every penny!"
"<p>After using it for a month, Color is completely different from the photos. Overpriced for such low quality. One star is too generous.</p>",1,True,3,negative,"after using it for a month, color is completely different from the photos. overpriced for such low quality. one star is too generous."
"My experience: Decent performance, not amazing but okay. Save your money. Contact me: reviewer@email.com",3,True,4,neutral,"my experience: decent performance, not amazing but okay. save your money. contact me: reviewer@email.com"
"<p>In my opinion, Amazing battery life! Lasts all day without charging. You get what you pay for.</p> Contact me: reviewer@email.com",5,True,34,positive,"in my opinion, amazing battery life! lasts all day without charging. you get what you pay for. contact me: reviewer@email.com"
"EDIT: After more use, Standard quality, nothing remarkable. Save your money.",3,True,8,neutral,"edit: after more use, standard quality, nothing remarkable. save your money."
"<p>After using it for a month, Great value for money, highly recommend! Great value for money, highly recommend!</p>",5,True,11,positive,"after using it for a month, great value for money, highly recommend! great value for money, highly recommend!"
"To be honest, It works as expected, nothing special. Highly recommend!",3,True,3,neutral,"to be honest, it works as expected, nothing special. highly recommend!"
"Setup was incredibly easy, connected right away. One star is too generous.",4,True,43,positive,"setup was incredibly easy, connected right away. one star is too generous."
"UPDATE: Poor quality material, started falling apart after one wash. Looks cheap and poorly made. Would buy again!",2,True,10,negative,"update: poor quality material, started falling apart after one wash. looks cheap and poorly made. would buy again!"
"<p>In my opinion, Great build quality, feels premium and solid. The screen resolution is perfect for watching movies.</p>",5,False,27,positive,"in my opinion, great build quality, feels premium and solid. the screen resolution is perfect for watching movies."
"After using it for a month, Standard features and performance. Disappointed overall.",3,True,1,neutral,"after using it for a month, standard features and performance. disappointed overall."
"After using it for a month, Decent for the price, but not great. Save your money.",3,True,10,neutral,"after using it for a month, decent for the price, but not great. save your money."
"After using it for a month, Screen is too small and hard to read. Five stars from me!",1,True,11,negative,"after using it for a month, screen is too small and hard to read. five stars from me!"
"Just received it and Camera is terrible, blurry photos even in daylight. Screen is too small and hard to read. Save your money. Check my blog: www.reviews.com/mypost",2,True,23,negative,"just received it and camera is terrible, blurry photos even in daylight. screen is too small and hard to read. save your money. check my blog:"
"After using it for a month, Great value for money, highly recommend! Total waste of money.",5,True,30,positive,"after using it for a month, great value for money, highly recommend! total waste of money."
<p>Perfect fit! Very comfortable to wear all day.</p>,5,True,48,positive,perfect fit! very comfortable to wear all day.
"To be honest, Runs very small, order 2 sizes up! Terrible fit, way too small even though I ordered my size. You get what you pay for.",1,True,10,negative,"to be honest, runs very small, order 2 sizes up! terrible fit, way too small even though i ordered my size. you get what you pay for."
My experience: As expected from this brand. Five stars from me! Check my blog: www.reviews.com/mypost,3,True,9,neutral,my experience: as expected from this brand. five stars from me! check my blog:
"EDIT: After more use, Decent for the price, but not great. Save your money.",3,True,3,neutral,"edit: after more use, decent for the price, but not great. save your money."
"<p>Just received it and Runs very small, order 2 sizes up! Faded badly after first wash. Total waste of money.</p>",2,True,15,negative,"just received it and runs very small, order 2 sizes up! faded badly after first wash. total waste of money."
UPDATE: Average product for the price point. Five stars from me! Check my blog: www.reviews.com/mypost,3,True,8,neutral,update: average product for the price point. five stars from me! check my blog:
"UPDATE: Standard features, what you would expect. Highly recommend!",3,True,2,neutral,"update: standard features, what you would expect. highly recommend!"
"Honestly, Fits okay, material is average.",3,True,6,neutral,"honestly, fits okay, material is average."
"EDIT: After more use, Screen is too small and hard to read. Poor build quality, feels cheap and plastic. One star is too generous.",1,False,22,negative,"edit: after more use, screen is too small and hard to read. poor build quality, feels cheap and plastic. one star is too generous."
"In my opinion, Difficult to setup, confusing instructions. Battery drains too quickly, barely lasts 3 hours. Save your money.",1,False,19,negative,"in my opinion, difficult to setup, confusing instructions. battery drains too quickly, barely lasts 3 hours. save your money."
"EDIT: After more use, True to size, the measurements were accurate. Highly recommend!",4,False,26,positive,"edit: after more use, true to size, the measurements were accurate. highly recommend!"
"After using it for a month, Okay for occasional use. Disappointed overall.",3,True,1,neutral,"after using it for a month, okay for occasional use. disappointed overall."
"Just received it and Sound quality is awful, tinny and distorted. Five stars from me!",2,True,30,negative,"just received it and sound quality is awful, tinny and distorted. five stars from me!"
"After using it for a month, Okay for occasional use. Save your money.",3,True,5,neutral,"after using it for a month, okay for occasional use. save your money."
"EDIT: After more use, Quiet operation, barely makes any noise. Worth every penny!",4,True,26,positive,"edit: after more use, quiet operation, barely makes any noise. worth every penny!"
"In my opinion, The display is absolutely stunning. Colors are vibrant and sharp. Amazing battery life! Lasts all day without charging. Not recommended. Check my blog: www.reviews.com/mypost",5,True,48,positive,"in my opinion, the display is absolutely stunning. colors are vibrant and sharp. amazing battery life! lasts all day without charging. not recommended. check my blog:"
"I must say, Looks stylish and modern, gets compliments. Beautiful color, exactly as shown in pictures. Save your money.",5,False,43,positive,"i must say, looks stylish and modern, gets compliments. beautiful color, exactly as shown in pictures. save your money."
"<p>After using it for a month, Quiet operation, barely makes any noise. Powerful and efficient, cleans thoroughly. Would buy again!</p>",5,True,24,positive,"after using it for a month, quiet operation, barely makes any noise. powerful and efficient, cleans thoroughly. would buy again!"
"After using it for a month, Very slow, freezes constantly during use. Camera is terrible, blurry photos even in daylight. Disappointed overall. Check my blog: www.reviews.com/mypost",2,True,7,negative,"after using it for a month, very slow, freezes constantly during use. camera is terrible, blurry photos even in daylight. disappointed overall. check my blog:"
My experience: Looks cheap and poorly made. Faded badly after first wash. Would buy again!,2,True,2,negative,my experience: looks cheap and poorly made. faded badly after first wash. would buy again!
"Overall, Broke after just 2 weeks of use! Save your money. Check my blog: www.reviews.com/mypost",1,True,12,negative,"overall, broke after just 2 weeks of use! save your money. check my blog:"
"<p>Just received it and Camera quality exceeded my expectations, photos are crisp. Total waste of money.</p>",5,True,30,positive,"just received it and camera quality exceeded my expectations, photos are crisp. total waste of money."
"To be honest, Camera quality exceeded my expectations, photos are crisp. Setup was incredibly easy, connected right away. Would buy again!",5,True,17,positive,"to be honest, camera quality exceeded my expectations, photos are crisp. setup was incredibly easy, connected right away. would buy again!"
"To be honest, Average product for the price point. Five stars from me!",3,True,0,neutral,"to be honest, average product for the price point. five stars from me!"
"Honestly, Decent for the price, but not great. Five stars from me!",3,True,1,neutral,"honestly, decent for the price, but not great. five stars from me!"
"I must say, Average product for the price point. Five stars from me!",3,True,2,neutral,"i must say, average product for the price point. five stars from me!"
"Great value for money, highly recommend! Washes well, no fading or shrinking. One star is too generous.",5,True,25,positive,"great value for money, highly recommend! washes well, no fading or shrinking. one star is too generous."
"To be honest, Decent for the price, but not great. One star is too generous.",3,True,3,neutral,"to be honest, decent for the price, but not great. one star is too generous."
"<p>My experience: Excellent quality fabric, feels soft and durable. Five stars from me!</p>",5,True,11,positive,"my experience: excellent quality fabric, feels soft and durable. five stars from me!"
"Honestly, Color is completely different from the photos. One star is too generous.",2,True,15,negative,"honestly, color is completely different from the photos. one star is too generous."
"After using it for a month, Easy to clean and maintain. Perfect for my needs.",5,False,40,positive,"after using it for a month, easy to clean and maintain. perfect for my needs."
Just received it and Amazing battery life! Lasts all day without charging. Perfect for my needs.,5,True,17,positive,just received it and amazing battery life! lasts all day without charging. perfect for my needs.
"I must say, Broke after just 2 weeks of use! Not recommended.",2,True,27,negative,"i must say, broke after just 2 weeks of use! not recommended."
<p>Just received it and Broke after just 2 weeks of use! You get what you pay for.</p>,2,True,14,negative,just received it and broke after just 2 weeks of use! you get what you pay for.
UPDATE: Great features for the price. Perfect for my needs. Check my blog: www.reviews.com/mypost,5,True,6,positive,update: great features for the price. perfect for my needs. check my blog:
<p>The screen resolution is perfect for watching movies. You get what you pay for.</p>,5,True,31,positive,the screen resolution is perfect for watching movies. you get what you pay for.
"UPDATE: Poor build quality, feels cheap and plastic. Would buy again!",1,True,12,negative,"update: poor build quality, feels cheap and plastic. would buy again!"
"Just received it and Fits okay, material is average. Perfect for my needs. Contact me: reviewer@email.com",3,True,9,neutral,"just received it and fits okay, material is average. perfect for my needs. contact me: reviewer@email.com"
"My experience: Average product, meets basic needs. Total waste of money.",3,True,2,neutral,"my experience: average product, meets basic needs. total waste of money."
"EDIT: After more use, Compact size, fits perfectly in my space. Compact size, fits perfectly in my space. Not recommended.",5,True,2,positive,"edit: after more use, compact size, fits perfectly in my space. compact size, fits perfectly in my space. not recommended."
"<p>UPDATE: Fits okay, material is average. You get what you pay for.</p>",3,True,3,neutral,"update: fits okay, material is average. you get what you pay for."
Great features for the price. One star is too generous. Contact me: reviewer@email.com,5,True,28,positive,great features for the price. one star is too generous. contact me: reviewer@email.com
"Super fast performance, handles multitasking effortlessly. Great build quality, feels premium and solid.",5,False,43,positive,"super fast performance, handles multitasking effortlessly. great build quality, feels premium and solid."
"In my opinion, Perfect fit! Very comfortable to wear all day. Disappointed overall.",5,True,26,positive,"in my opinion, perfect fit! very comfortable to wear all day. disappointed overall."
"<p>Honestly, Perfect fit! Very comfortable to wear all day. Beautiful color, exactly as shown in pictures. Five stars from me!</p>",5,True,48,positive,"honestly, perfect fit! very comfortable to wear all day. beautiful color, exactly as shown in pictures. five stars from me!"
