review_text,rating,verified_purchase,helpful_votes,sentiment,review_text_normalized,review_text_normalized_tokens,review_text_normalized_tokens_no_stopwords,review_text_normalized_tokens_no_stopwords_lemmatized
UPDATE: Faded badly after first wash.,2,False,19,negative,update: faded badly after first wash.,"['update', 'faded', 'badly', 'after', 'first', 'wash']","['update', 'faded', 'badly', 'first', 'wash']","['update', 'faded', 'badly', 'first', 'wash']"
"I must say, Easy to clean and maintain. You get what you pay for. Check my blog: www.reviews.com/mypost",5,True,41,positive,"i must say, easy to clean and maintain. you get what you pay for. check my blog:","['must', 'say', 'easy', 'to', 'clean', 'and', 'maintain', 'you', 'get', 'what', 'you', 'pay', 'for', 'check', 'my', 'blog']","['must', 'say', 'easy', 'clean', 'maintain', 'get', 'pay', 'check', 'blog']","['must', 'say', 'easy', 'clean', 'maintain', 'get', 'pay', 'check', 'blog']"
"Standard features, what you would expect. Highly recommend!",3,True,5,neutral,"standard features, what you would expect. highly recommend!","['standard', 'features', 'what', 'you', 'would', 'expect', 'highly', 'recommend']","['standard', 'features', 'would', 'expect', 'highly', 'recommend']","['standard', 'feature', 'would', 'expect', 'highly', 'recommend']"
"In my opinion, Washes well, no fading or shrinking. Beautiful color, exactly as shown in pictures. Total waste of money. Check my blog: www.reviews.com/mypost",5,True,20,positive,"in my opinion, washes well, no fading or shrinking. beautiful color, exactly as shown in pictures. total waste of money. check my blog:","['in', 'my', 'opinion', 'washes', 'well', 'no', 'fading', 'or', 'shrinking', 'beautiful', 'color', 'exactly', 'as', 'shown', 'in', 'pictures', 'total', 'waste', 'of', 'money', 'check', 'my', 'blog']","['opinion', 'washes', 'well', 'fading', 'shrinking', 'beautiful', 'color', 'exactly', 'shown', 'pictures', 'total', 'waste', 'money', 'check', 'blog']","['opinion', 'wash', 'well', 'fading', 'shrinking', 'beautiful', 'color', 'exactly', 'shown', 'picture', 'total', 'waste', 'money', 'check', 'blog']"
"After using it for a month, Great build quality, feels premium and solid. Perfect for my needs.",5,False,29,positive,"after using it for a month, great build quality, feels premium and solid. perfect for my needs.","['after', 'using', 'it', 'for', 'month', 'great', 'build', 'quality', 'feels', 'premium', 'and', 'solid', 'perfect', 'for', 'my', 'needs']","['using', 'month', 'great', 'build', 'quality', 'feels', 'premium', 'solid', 'perfect', 'needs']","['using', 'month', 'great', 'build', 'quality', 'feel', 'premium', 'solid', 'perfect', 'need']"
"Honestly, Average product, meets basic needs. Save your money.",3,True,8,neutral,"honestly, average product, meets basic needs. save your money.","['honestly', 'average', 'product', 'meets', 'basic', 'needs', 'save', 'your', 'money']","['honestly', 'average', 'product', 'meets', 'basic', 'needs', 'save', 'money']","['honestly', 'average', 'product', 'meet', 'basic', 'need', 'save', 'money']"
"UPDATE: Difficult to clean, parts don't come apart easily. Missing basic features, very disappointed. You get what you pay for. Check my blog: www.reviews.com/mypost",1,False,5,negative,"update: difficult to clean, parts don't come apart easily. missing basic features, very disappointed. you get what you pay for. check my blog:","['update', 'difficult', 'to', 'clean', 'parts', 'do', ""n't"", 'come', 'apart', 'easily', 'missing', 'basic', 'features', 'very', 'disappointed', 'you', 'get', 'what', 'you', 'pay', 'for', 'check', 'my', 'blog']","['update', 'difficult', 'clean', 'parts', ""n't"", 'come', 'apart', 'easily', 'missing', 'basic', 'features', 'disappointed', 'get', 'pay', 'check', 'blog']","['update', 'difficult', 'clean', 'part', ""n't"", 'come', 'apart', 'easily', 'missing', 'basic', 'feature', 'disappointed', 'get', 'pay', 'check', 'blog']"
"Overall, Great value for money, highly recommend! Excellent quality fabric, feels soft and durable. Not recommended.",5,True,41,positive,"overall, great value for money, highly recommend! excellent quality fabric, feels soft and durable. not recommended.","['overall', 'great', 'value', 'for', 'money', 'highly', 'recommend', 'excellent', 'quality', 'fabric', 'feels', 'soft', 'and', 'durable', 'not', 'recommended']","['overall', 'great', 'value', 'money', 'highly', 'recommend', 'excellent', 'quality', 'fabric', 'feels', 'soft', 'durable', 'recommended']","['overall', 'great', 'value', 'money', 'highly', 'recommend', 'excellent', 'quality', 'fabric', 'feel', 'soft', 'durable', 'recommended']"
"Just received it and Fits okay, material is average. Five stars from me!",3,True,6,neutral,"just received it and fits okay, material is average. five stars from me!","['just', 'received', 'it', 'and', 'fits', 'okay', 'material', 'is', 'average', 'five', 'stars', 'from', 'me']","['received', 'fits', 'okay', 'material', 'average', 'five', 'stars']","['received', 'fit', 'okay', 'material', 'average', 'five', 'star']"
"UPDATE: Poor quality material, started falling apart after one wash. Disappointed overall. Check my blog: www.reviews.com/mypost",1,True,5,negative,"update: poor quality material, started falling apart after one wash. disappointed overall. check my blog:","['update', 'poor', 'quality', 'material', 'started', 'falling', 'apart', 'after', 'one', 'wash.', 'disappointed', 'overall', 'check', 'my', 'blog']","['update', 'poor', 'quality', 'material', 'started', 'falling', 'apart', 'one', 'wash.', 'disappointed', 'overall', 'check', 'blog']","['update', 'poor', 'quality', 'material', 'started', 'falling', 'apart', 'one', 'wash.', 'disappointed', 'overall', 'check', 'blog']"
"In my opinion, Sturdy design, built to last. You get what you pay for.",5,True,33,positive,"in my opinion, sturdy design, built to last. you get what you pay for.","['in', 'my', 'opinion', 'sturdy', 'design', 'built', 'to', 'last', 'you', 'get', 'what', 'you', 'pay', 'for']","['opinion', 'sturdy', 'design', 'built', 'last', 'get', 'pay']","['opinion', 'sturdy', 'design', 'built', 'last', 'get', 'pay']"
UPDATE: Average product for the price point. Highly recommend!,3,False,8,neutral,update: average product for the price point. highly recommend!,"['update', 'average', 'product', 'for', 'the', 'price', 'point', 'highly', 'recommend']","['update', 'average', 'product', 'price', 'point', 'highly', 'recommend']","['update', 'average', 'product', 'price', 'point', 'highly', 'recommend']"
"Honestly, Great features for the price. Easy to clean and maintain. Save your money.",5,False,38,positive,"honestly, great features for the price. easy to clean and maintain. save your money.","['honestly', 'great', 'features', 'for', 'the', 'price', 'easy', 'to', 'clean', 'and', 'maintain', 'save', 'your', 'money']","['honestly', 'great', 'features', 'price', 'easy', 'clean', 'maintain', 'save', 'money']","['honestly', 'great', 'feature', 'price', 'easy', 'clean', 'maintain', 'save', 'money']"
"Overall, It works as expected, nothing special. One star is too generous.",3,True,10,neutral,"overall, it works as expected, nothing special. one star is too generous.","['overall', 'it', 'works', 'as', 'expected', 'nothing', 'special', 'one', 'star', 'is', 'too', 'generous']","['overall', 'works', 'expected', 'nothing', 'special', 'one', 'star', 'generous']","['overall', 'work', 'expected', 'nothing', 'special', 'one', 'star', 'generous']"
"Honestly, Fits okay, material is average. One star is too generous. Contact me: reviewer@email.com",3,True,7,neutral,"honestly, fits okay, material is average. one star is too generous. contact me: reviewer@email.com","['honestly', 'fits', 'okay', 'material', 'is', 'average', 'one', 'star', 'is', 'too', 'generous', 'contact', 'me', 'reviewer', 'email.com']","['honestly', 'fits', 'okay', 'material', 'average', 'one', 'star', 'generous', 'contact', 'reviewer', 'email.com']","['honestly', 'fit', 'okay', 'material', 'average', 'one', 'star', 'generous', 'contact', 'reviewer', 'email.com']"
"<p>I must say, Super fast performance, handles multitasking effortlessly. You get what you pay for.</p>",5,True,33,positive,"i must say, super fast performance, handles multitasking effortlessly. you get what you pay for.","['must', 'say', 'super', 'fast', 'performance', 'handles', 'multitasking', 'effortlessly', 'you', 'get', 'what', 'you', 'pay', 'for']","['must', 'say', 'super', 'fast', 'performance', 'handles', 'multitasking', 'effortlessly', 'get', 'pay']","['must', 'say', 'super', 'fast', 'performance', 'handle', 'multitasking', 'effortlessly', 'get', 'pay']"
"After using it for a month, Overheats after just 10 minutes of use. One star is too generous.",2,False,8,negative,"after using it for a month, overheats after just 10 minutes of use. one star is too generous.","['after', 'using', 'it', 'for', 'month', 'overheats', 'after', 'just', '10', 'minutes', 'of', 'use', 'one', 'star', 'is', 'too', 'generous']","['using', 'month', 'overheats', '10', 'minutes', 'use', 'one', 'star', 'generous']","['using', 'month', 'overheats', '10', 'minute', 'use', 'one', 'star', 'generous']"
"In my opinion, Easy to clean and maintain. Easy to clean and maintain. Total waste of money. Check my blog: www.reviews.com/mypost",5,True,26,positive,"in my opinion, easy to clean and maintain. easy to clean and maintain. total waste of money. check my blog:","['in', 'my', 'opinion', 'easy', 'to', 'clean', 'and', 'maintain', 'easy', 'to', 'clean', 'and', 'maintain', 'total', 'waste', 'of', 'money', 'check', 'my', 'blog']","['opinion', 'easy', 'clean', 'maintain', 'easy', 'clean', 'maintain', 'total', 'waste', 'money', 'check', 'blog']","['opinion', 'easy', 'clean', 'maintain', 'easy', 'clean', 'maintain', 'total', 'waste', 'money', 'check', 'blog']"
"<p>To be honest, Consumes too much power. One star is too generous.</p>",2,True,1,negative,"to be honest, consumes too much power. one star is too generous.","['to', 'be', 'honest', 'consumes', 'too', 'much', 'power', 'one', 'star', 'is', 'too', 'generous']","['honest', 'consumes', 'much', 'power', 'one', 'star', 'generous']","['honest', 'consumes', 'much', 'power', 'one', 'star', 'generous']"
"Honestly, Super fast performance, handles multitasking effortlessly. Camera quality exceeded my expectations, photos are crisp. Would buy again! Check my blog: www.reviews.com/mypost",4,False,11,positive,"honestly, super fast performance, handles multitasking effortlessly. camera quality exceeded my expectations, photos are crisp. would buy again! check my blog:","['honestly', 'super', 'fast', 'performance', 'handles', 'multitasking', 'effortlessly', 'camera', 'quality', 'exceeded', 'my', 'expectations', 'photos', 'are', 'crisp', 'would', 'buy', 'again', 'check', 'my', 'blog']","['honestly', 'super', 'fast', 'performance', 'handles', 'multitasking', 'effortlessly', 'camera', 'quality', 'exceeded', 'expectations', 'photos', 'crisp', 'would', 'buy', 'check', 'blog']","['honestly', 'super', 'fast', 'performance', 'handle', 'multitasking', 'effortlessly', 'camera', 'quality', 'exceeded', 'expectation', 'photo', 'crisp', 'would', 'buy', 'check', 'blog']"
"Honestly, Standard features, what you would expect. One star is too generous. Contact me: reviewer@email.com",3,True,6,neutral,"honestly, standard features, what you would expect. one star is too generous. contact me: reviewer@email.com","['honestly', 'standard', 'features', 'what', 'you', 'would', 'expect', 'one', 'star', 'is', 'too', 'generous', 'contact', 'me', 'reviewer', 'email.com']","['honestly', 'standard', 'features', 'would', 'expect', 'one', 'star', 'generous', 'contact', 'reviewer', 'email.com']","['honestly', 'standard', 'feature', 'would', 'expect', 'one', 'star', 'generous', 'contact', 'reviewer', 'email.com']"
"I must say, Great value for money, highly recommend! Great value for money, highly recommend! Disappointed overall. Contact me: reviewer@email.com",5,True,12,positive,"i must say, great value for money, highly recommend! great value for money, highly recommend! disappointed overall. contact me: reviewer@email.com","['must', 'say', 'great', 'value', 'for', 'money', 'highly', 'recommend', 'great', 'value', 'for', 'money', 'highly', 'recommend', 'disappointed', 'overall', 'contact', 'me', 'reviewer', 'email.com']","['must', 'say', 'great', 'value', 'money', 'highly', 'recommend', 'great', 'value', 'money', 'highly', 'recommend', 'disappointed', 'overall', 'contact', 'reviewer', 'email.com']","['must', 'say', 'great', 'value', 'money', 'highly', 'recommend', 'great', 'value', 'money', 'highly', 'recommend', 'disappointed', 'overall', 'contact', 'reviewer', 'email.com']"
My experience: Screen is too small and hard to read. Worth every penny!,1,True,26,negative,my experience: screen is too small and hard to read. worth every penny!,"['my', 'experience', 'screen', 'is', 'too', 'small', 'and', 'hard', 'to', 'read', 'worth', 'every', 'penny']","['experience', 'screen', 'small', 'hard', 'read', 'worth', 'every', 'penny']","['experience', 'screen', 'small', 'hard', 'read', 'worth', 'every', 'penny']"
"Overall, Great value for money, highly recommend! Worth every penny!",4,True,15,positive,"overall, great value for money, highly recommend! worth every penny!","['overall', 'great', 'value', 'for', 'money', 'highly', 'recommend', 'worth', 'every', 'penny']","['overall', 'great', 'value', 'money', 'highly', 'recommend', 'worth', 'every', 'penny']","['overall', 'great', 'value', 'money', 'highly', 'recommend', 'worth', 'every', 'penny']"
"After using it for a month, Great features for the price. Easy to clean and maintain. Save your money.",4,True,44,positive,"after using it for a month, great features for the price. easy to clean and maintain. save your money.","['after', 'using', 'it', 'for', 'month', 'great', 'features', 'for', 'the', 'price', 'easy', 'to', 'clean', 'and', 'maintain', 'save', 'your', 'money']","['using', 'month', 'great', 'features', 'price', 'easy', 'clean', 'maintain', 'save', 'money']","['using', 'month', 'great', 'feature', 'price', 'easy', 'clean', 'maintain', 'save', 'money']"
